Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,373.16,372.54,349.8,194.56,128.87,87.01,69.43,58.87,46.61,43.0,0.0375,25900,25,16
1,373.08,372.5,349.76,194.46,128.79,87.0,69.38,58.82,46.62,43.05,0.0375,25900,25,16
2,373.01,372.48,349.73,194.33,128.73,86.98,69.35,58.86,46.66,43.08,0.0375,25900,25,16
3,372.94,372.51,349.75,194.22,128.67,86.95,69.34,58.88,46.7,43.11,0.0375,25900,25,16
4,372.87,372.56,349.79,194.04,128.58,86.94,69.33,58.88,46.73,43.14,0.0375,25900,25,16
5,372.78,372.59,349.74,193.88,128.49,86.9,69.29,58.88,46.78,43.17,0.0375,25900,25,16
6,372.74,372.61,349.67,193.9,128.43,86.88,69.28,58.92,46.83,43.2,0.0375,25900,25,16
7,372.63,372.64,349.62,193.96,128.37,86.86,69.33,58.94,46.89,43.16,0.0375,25900,25,16
8,372.57,372.66,349.6,193.97,128.31,86.84,69.34,58.96,46.93,43.24,0.0375,25900,25,16
9,372.52,372.67,349.58,194.01,128.26,86.83,69.38,58.95,46.98,43.28,0.0375,25900,25,16
10,372.45,372.64,349.62,194.09,128.22,86.81,69.34,58.97,47.04,43.31,0.0375,25900,25,16
11,372.4,372.63,349.68,194.16,128.23,86.8,69.33,58.97,47.1,43.37,0.0375,25900,25,16
12,372.37,372.6,349.77,194.19,128.22,86.77,69.28,58.97,47.11,43.37,0.0375,25900,25,16
13,372.34,372.55,349.91,194.17,128.21,86.76,69.26,58.96,47.13,43.39,0.0375,25900,25,16
14,372.29,372.5,350.06,194.2,128.24,86.74,69.27,58.94,47.14,43.41,0.0375,25900,25,16
15,372.25,372.47,350.17,194.36,128.26,86.73,69.29,59.0,47.16,43.43,0.0375,25900,25,16
16,372.18,372.47,350.26,194.44,128.26,86.72,69.32,59.05,47.17,43.44,0.0375,25900,25,16
17,372.11,372.46,350.37,194.42,128.22,86.71,69.36,59.06,47.2,43.46,0.0375,25900,25,16
18,372.07,372.45,350.49,194.42,128.18,86.69,69.38,59.02,47.2,43.54,0.0375,25900,25,16
19,371.95,372.44,350.6,194.4,128.14,86.68,69.42,59.01,47.22,43.55,0.0375,25900,25,16
20,371.87,372.42,350.77,194.25,128.06,86.68,69.44,59.05,47.23,43.6,0.0375,25900,25,16
21,371.82,372.42,350.91,194.2,128.04,86.67,69.49,59.11,47.25,43.63,0.0375,25900,25,16
22,371.77,372.41,351.01,194.21,128.02,86.67,69.51,59.14,47.27,43.64,0.0375,25900,25,16
