Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,359.59,359.21,359.6,360.18,359.5,361.49,358.95,359.5,352.75,323.81,0.1575,21250,3,0.76
1,359.57,359.21,359.59,360.17,359.49,361.48,358.97,359.55,352.86,323.76,0.1575,21250,3,0.76
2,359.62,359.29,359.63,360.21,359.52,361.52,359.12,359.72,353.1,323.75,0.1575,21250,3,0.76
3,359.71,359.42,359.69,360.29,359.55,361.58,359.29,359.89,353.37,323.78,0.1575,21250,3,0.76
4,359.89,359.65,359.82,360.37,359.66,361.66,359.57,360.09,353.86,323.86,0.1575,21250,3,0.76
5,360.09,359.88,359.95,360.48,359.79,361.75,359.86,360.28,354.39,323.94,0.1575,21250,3,0.76
6,360.21,360.01,360.06,360.58,359.89,361.85,360.04,360.48,354.76,324.0,0.1575,21250,3,0.76
7,360.33,360.14,360.15,360.65,359.99,361.93,360.2,360.63,355.13,324.1,0.1575,21250,3,0.76
8,360.45,360.27,360.25,360.75,360.1,362.05,360.34,360.85,355.5,324.23,0.1575,21250,3,0.76
9,360.57,360.37,360.35,360.83,360.2,362.16,360.48,361.05,355.88,324.39,0.1575,21250,3,0.76
10,360.68,360.46,360.44,360.9,360.27,362.29,360.59,361.23,356.25,324.57,0.1575,21250,3,0.76
11,360.78,360.54,360.53,360.96,360.37,362.4,360.71,361.37,356.59,324.77,0.1575,21250,3,0.76
12,360.93,360.64,360.67,361.03,360.48,362.51,360.84,361.48,356.92,325.06,0.1575,21250,3,0.76
13,361.06,360.73,360.79,361.09,360.57,362.62,360.9,361.56,357.09,325.34,0.1575,21250,3,0.76
14,361.14,360.78,360.85,361.12,360.62,362.67,360.95,361.6,357.21,325.51,0.1575,21250,3,0.76
15,361.24,360.82,360.92,361.19,360.68,362.74,361.0,361.67,357.37,325.67,0.1575,21250,3,0.76
16,361.31,360.84,361.0,361.26,360.74,362.82,361.07,361.74,357.52,325.85,0.1575,21250,3,0.76
17,361.38,360.89,361.06,361.36,360.8,362.87,361.13,361.76,357.65,326.02,0.1575,21250,3,0.76
18,361.45,360.91,361.13,361.48,360.86,362.93,361.16,361.83,357.76,326.15,0.1575,21250,3,0.76
19,361.5,360.94,361.18,361.6,360.91,362.97,361.18,361.92,357.84,326.3,0.1575,21250,3,0.76
20,361.55,360.98,361.23,361.72,360.99,363.01,361.19,361.99,357.91,326.41,0.1575,21250,3,0.76
21,361.59,360.99,361.28,361.79,361.05,363.04,361.18,362.03,358.01,326.54,0.1575,21250,3,0.76
22,361.64,360.97,361.34,361.89,361.14,363.1,361.2,362.08,358.14,326.71,0.1575,21250,3,0.76
23,361.69,360.92,361.38,361.97,361.21,363.15,361.22,362.09,358.27,326.88,0.1575,21250,3,0.76
24,361.73,360.93,361.39,362.04,361.25,363.21,361.24,362.1,358.37,327.0,0.1575,21250,3,0.76
25,361.76,360.96,361.4,362.1,361.29,363.25,361.25,362.13,358.44,327.1,0.1575,21250,3,0.76
26,361.79,361.0,361.41,362.16,361.33,363.3,361.29,362.19,358.52,327.22,0.1575,21250,3,0.76
27,361.82,361.05,361.42,362.21,361.36,363.34,361.33,362.24,358.54,327.35,0.1575,21250,3,0.76
28,361.86,361.09,361.44,362.25,361.39,363.37,361.4,362.25,358.5,327.49,0.1575,21250,3,0.76
29,361.89,361.11,361.44,362.27,361.42,363.42,361.46,362.25,358.41,327.61,0.1575,21250,3,0.76
30,361.89,361.05,361.44,362.31,361.45,363.47,361.5,362.33,358.27,327.74,0.1575,21250,3,0.76
31,361.91,360.98,361.44,362.31,361.51,363.51,361.51,362.38,358.08,327.94,0.1575,21250,3,0.76
32,361.91,360.94,361.46,362.32,361.56,363.53,361.54,362.42,357.97,328.15,0.1575,21250,3,0.76
33,361.89,360.93,361.48,362.33,361.58,363.57,361.57,362.46,358.01,328.29,0.1575,21250,3,0.76
34,361.86,360.9,361.49,362.34,361.59,363.61,361.59,362.48,358.09,328.44,0.1575,21250,3,0.76
35,361.83,360.86,361.5,362.35,361.59,363.63,361.61,362.48,358.2,328.6,0.1575,21250,3,0.76
36,361.81,360.82,361.5,362.36,361.59,363.67,361.63,362.5,358.33,328.77,0.1575,21250,3,0.76
37,361.79,360.77,361.5,362.35,361.59,363.7,361.67,362.52,358.48,328.95,0.1575,21250,3,0.76
38,361.79,360.74,361.5,362.33,361.59,363.72,361.71,362.56,358.62,329.11,0.1575,21250,3,0.76
39,361.79,360.72,361.48,362.31,361.58,363.72,361.77,362.62,358.73,329.28,0.1575,21250,3,0.76
40,361.82,360.72,361.48,362.28,361.59,363.71,361.86,362.67,358.87,329.55,0.1575,21250,3,0.76
41,361.83,360.73,361.47,362.26,361.59,363.69,361.9,362.71,359.03,329.82,0.1575,21250,3,0.76
42,361.85,360.74,361.47,362.25,361.6,363.68,361.91,362.72,359.12,329.97,0.1575,21250,3,0.76
43,361.84,360.76,361.49,362.24,361.61,363.66,361.88,362.68,359.21,330.11,0.1575,21250,3,0.76
44,361.84,360.79,361.5,362.24,361.61,363.65,361.84,362.65,359.28,330.25,0.1575,21250,3,0.76
45,361.87,360.8,361.49,362.24,361.61,363.63,361.82,362.62,359.34,330.37,0.1575,21250,3,0.76
46,361.9,360.82,361.5,362.25,361.61,363.63,361.77,362.61,359.38,330.51,0.1575,21250,3,0.76
47,361.95,360.84,361.49,362.27,361.6,363.62,361.77,362.61,359.41,330.65,0.1575,21250,3,0.76
48,362.03,360.88,361.51,362.27,361.61,363.61,361.75,362.6,359.52,330.88,0.1575,21250,3,0.76
49,362.08,360.9,361.51,362.27,361.59,363.6,361.71,362.59,359.65,331.09,0.1575,21250,3,0.76
50,362.12,360.92,361.52,362.26,361.59,363.59,361.65,362.58,359.73,331.25,0.1575,21250,3,0.76
