Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,359.76,359.21,359.65,360.21,359.56,361.66,358.92,358.7,353.88,319.86,0.1575,25900,3,0.76
1,359.79,359.28,359.68,360.24,359.58,361.68,359.06,358.98,354.41,319.86,0.1575,25900,3,0.76
2,359.92,359.48,359.79,360.33,359.67,361.74,359.4,359.31,355.1,319.99,0.1575,25900,3,0.76
3,360.04,359.64,359.88,360.45,359.75,361.85,359.66,359.61,355.58,320.16,0.1575,25900,3,0.76
4,360.18,359.8,359.99,360.58,359.86,361.98,359.91,359.91,356.03,320.38,0.1575,25900,3,0.76
5,360.31,359.98,360.09,360.72,359.98,362.11,360.16,360.21,356.44,320.64,0.1575,25900,3,0.76
6,360.45,360.13,360.21,360.81,360.12,362.21,360.39,360.39,356.82,320.92,0.1575,25900,3,0.76
7,360.6,360.3,360.32,360.96,360.25,362.34,360.63,360.61,357.14,321.22,0.1575,25900,3,0.76
8,360.74,360.47,360.42,361.11,360.38,362.49,360.87,360.86,357.42,321.5,0.1575,25900,3,0.76
9,360.89,360.62,360.53,361.27,360.53,362.63,361.12,361.11,357.68,321.81,0.1575,25900,3,0.76
10,361.09,360.82,360.67,361.42,360.72,362.77,361.46,361.37,358.01,322.21,0.1575,25900,3,0.76
11,361.28,361.0,360.83,361.52,360.93,362.86,361.76,361.58,358.29,322.58,0.1575,25900,3,0.76
12,361.41,361.1,360.93,361.67,361.06,362.97,361.93,361.87,358.47,322.81,0.1575,25900,3,0.76
13,361.54,361.2,361.01,361.82,361.19,363.1,362.07,362.12,358.61,323.03,0.1575,25900,3,0.76
14,361.67,361.27,361.1,361.95,361.31,363.23,362.19,362.35,358.71,323.24,0.1575,25900,3,0.76
15,361.79,361.35,361.18,362.09,361.42,363.35,362.32,362.57,358.77,323.45,0.1575,25900,3,0.76
16,361.89,361.44,361.23,362.21,361.53,363.46,362.43,362.77,358.8,323.65,0.1575,25900,3,0.76
