Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,376.647259692722,334.704754894431,334.704754894431,334.704754894431,334.704754894431,334.704754894431,334.704754894431,334.704754894431,334.704754894431,313.343361508251,0.1575,25900,3,0.98
1,376.691473419324,334.748968621033,334.748968621033,334.748968621033,334.748968621033,334.748968621033,334.748968621033,334.748968621033,334.748968621033,313.383218755662,0.1575,25900,3,0.98
2,376.735683060916,334.793178262625,334.793178262625,334.793178262625,334.793178262625,334.793178262625,334.793178262625,334.793178262625,334.793178262625,313.42307178674,0.1575,25900,3,0.98
3,376.779888617099,334.837383818808,334.837383818808,334.837383818808,334.837383818808,334.837383818808,334.837383818808,334.837383818808,334.837383818808,313.462920601257,0.1575,25900,3,0.98
4,376.824090087471,334.88158528918,334.88158528918,334.88158528918,334.88158528918,334.88158528918,334.88158528918,334.88158528918,334.88158528918,313.502765198985,0.1575,25900,3,0.98
5,376.868287471632,334.925782673342,334.925782673342,334.925782673342,334.925782673342,334.925782673342,334.925782673342,334.925782673342,334.925782673342,313.542605579696,0.1575,25900,3,0.98
6,376.912480769183,334.969975970892,334.969975970892,334.969975970892,334.969975970892,334.969975970892,334.969975970892,334.969975970892,334.969975970892,313.582441743164,0.1575,25900,3,0.98
7,376.956669979723,335.014165181432,335.014165181432,335.014165181432,335.014165181432,335.014165181432,335.014165181432,335.014165181432,335.014165181432,313.62227368916,0.1575,25900,3,0.98
8,377.000855102852,335.058350304561,335.058350304561,335.058350304561,335.058350304561,335.058350304561,335.058350304561,335.058350304561,335.058350304561,313.662101417457,0.1575,25900,3,0.98
9,377.045036138171,335.10253133988,335.10253133988,335.10253133988,335.10253133988,335.10253133988,335.10253133988,335.10253133988,335.10253133988,313.701924927828,0.1575,25900,3,0.98
10,377.08921308528,335.14670828699,335.14670828699,335.14670828699,335.14670828699,335.14670828699,335.14670828699,335.14670828699,335.14670828699,313.741744220048,0.1575,25900,3,0.98
11,377.13338594378,335.190881145489,335.190881145489,335.190881145489,335.190881145489,335.190881145489,335.190881145489,335.190881145489,335.190881145489,313.781559293888,0.1575,25900,3,0.98
12,377.177554713272,335.235049914981,335.235049914981,335.235049914981,335.235049914981,335.235049914981,335.235049914981,335.235049914981,335.235049914981,313.821370149122,0.1575,25900,3,0.98
13,377.221719393356,335.279214595065,335.279214595065,335.279214595065,335.279214595065,335.279214595065,335.279214595065,335.279214595065,335.279214595065,313.861176785525,0.1575,25900,3,0.98
14,377.265879983635,335.323375185344,335.323375185344,335.323375185344,335.323375185344,335.323375185344,335.323375185344,335.323375185344,335.323375185344,313.900979202869,0.1575,25900,3,0.98
15,377.310036483708,335.367531685418,335.367531685418,335.367531685418,335.367531685418,335.367531685418,335.367531685418,335.367531685418,335.367531685418,313.940777400929,0.1575,25900,3,0.98
16,377.354188893179,335.411684094889,335.411684094889,335.411684094889,335.411684094889,335.411684094889,335.411684094889,335.411684094889,335.411684094889,313.98057137948,0.1575,25900,3,0.98
17,377.398337211649,335.455832413358,335.455832413358,335.455832413358,335.455832413358,335.455832413358,335.455832413358,335.455832413358,335.455832413358,314.020361138295,0.1575,25900,3,0.98
18,377.442481438719,335.499976640429,335.499976640429,335.499976640429,335.499976640429,335.499976640429,335.499976640429,335.499976640429,335.499976640429,314.060146677149,0.1575,25900,3,0.98
19,377.486621573992,335.544116775702,335.544116775702,335.544116775702,335.544116775702,335.544116775702,335.544116775702,335.544116775702,335.544116775702,314.099927995817,0.1575,25900,3,0.98
20,377.530757617071,335.58825281878,335.58825281878,335.58825281878,335.58825281878,335.58825281878,335.58825281878,335.58825281878,335.58825281878,314.139705094074,0.1575,25900,3,0.98
21,377.574889567556,335.632384769265,335.632384769265,335.632384769265,335.632384769265,335.632384769265,335.632384769265,335.632384769265,335.632384769265,314.179477971694,0.1575,25900,3,0.98
22,377.619017425052,335.676512626761,335.676512626761,335.676512626761,335.676512626761,335.676512626761,335.676512626761,335.676512626761,335.676512626761,314.219246628454,0.1575,25900,3,0.98
