Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,367.677933436917,325.735428638626,325.735428638626,325.735428638626,325.735428638626,325.735428638626,325.735428638626,325.735428638626,325.735428638626,305.246784483493,0.1575,25900,3,0.98
1,367.722959878653,325.780455080362,325.780455080362,325.780455080362,325.780455080362,325.780455080362,325.780455080362,325.780455080362,325.780455080362,305.287484345131,0.1575,25900,3,0.98
2,367.767982319411,325.82547752112,325.82547752112,325.82547752112,325.82547752112,325.82547752112,325.82547752112,325.82547752112,325.82547752112,305.328180039799,0.1575,25900,3,0.98
3,367.813000758755,325.870495960465,325.870495960465,325.870495960465,325.870495960465,325.870495960465,325.870495960465,325.870495960465,325.870495960465,305.368871567236,0.1575,25900,3,0.98
4,367.858015196252,325.915510397962,325.915510397962,325.915510397962,325.915510397962,325.915510397962,325.915510397962,325.915510397962,325.915510397962,305.409558927178,0.1575,25900,3,0.98
5,367.903025631466,325.960520833176,325.960520833176,325.960520833176,325.960520833176,325.960520833176,325.960520833176,325.960520833176,325.960520833176,305.450242119364,0.1575,25900,3,0.98
6,367.948032063964,326.005527265673,326.005527265673,326.005527265673,326.005527265673,326.005527265673,326.005527265673,326.005527265673,326.005527265673,305.49092114353,0.1575,25900,3,0.98
7,367.993034493309,326.050529695019,326.050529695019,326.050529695019,326.050529695019,326.050529695019,326.050529695019,326.050529695019,326.050529695019,305.531595999414,0.1575,25900,3,0.98
8,368.038032919069,326.095528120779,326.095528120779,326.095528120779,326.095528120779,326.095528120779,326.095528120779,326.095528120779,326.095528120779,305.572266686756,0.1575,25900,3,0.98
9,368.08302734081,326.14052254252,326.14052254252,326.14052254252,326.14052254252,326.14052254252,326.14052254252,326.14052254252,326.14052254252,305.612933205292,0.1575,25900,3,0.98
10,368.128017758097,326.185512959807,326.185512959807,326.185512959807,326.185512959807,326.185512959807,326.185512959807,326.185512959807,326.185512959807,305.653595554761,0.1575,25900,3,0.98
11,368.173004170498,326.230499372207,326.230499372207,326.230499372207,326.230499372207,326.230499372207,326.230499372207,326.230499372207,326.230499372207,305.694253734902,0.1575,25900,3,0.98
12,368.217986577577,326.275481779287,326.275481779287,326.275481779287,326.275481779287,326.275481779287,326.275481779287,326.275481779287,326.275481779287,305.734907745453,0.1575,25900,3,0.98
13,368.262964978903,326.320460180612,326.320460180612,326.320460180612,326.320460180612,326.320460180612,326.320460180612,326.320460180612,326.320460180612,305.775557586154,0.1575,25900,3,0.98
14,368.307939374042,326.365434575751,326.365434575751,326.365434575751,326.365434575751,326.365434575751,326.365434575751,326.365434575751,326.365434575751,305.816203256742,0.1575,25900,3,0.98
15,368.352909762561,326.41040496427,326.41040496427,326.41040496427,326.41040496427,326.41040496427,326.41040496427,326.41040496427,326.41040496427,305.856844756958,0.1575,25900,3,0.98
16,368.397876144027,326.455371345736,326.455371345736,326.455371345736,326.455371345736,326.455371345736,326.455371345736,326.455371345736,326.455371345736,305.897482086542,0.1575,25900,3,0.98
17,368.442838518007,326.500333719717,326.500333719717,326.500333719717,326.500333719717,326.500333719717,326.500333719717,326.500333719717,326.500333719717,305.938115245231,0.1575,25900,3,0.98
18,368.48779688407,326.54529208578,326.54529208578,326.54529208578,326.54529208578,326.54529208578,326.54529208578,326.54529208578,326.54529208578,305.978744232768,0.1575,25900,3,0.98
19,368.532751241783,326.590246443492,326.590246443492,326.590246443492,326.590246443492,326.590246443492,326.590246443492,326.590246443492,326.590246443492,306.01936904889,0.1575,25900,3,0.98
20,368.577701590713,326.635196792422,326.635196792422,326.635196792422,326.635196792422,326.635196792422,326.635196792422,326.635196792422,326.635196792422,306.059989693339,0.1575,25900,3,0.98
21,368.622647930429,326.680143132138,326.680143132138,326.680143132138,326.680143132138,326.680143132138,326.680143132138,326.680143132138,326.680143132138,306.100606165854,0.1575,25900,3,0.98
22,368.667590260498,326.725085462208,326.725085462208,326.725085462208,326.725085462208,326.725085462208,326.725085462208,326.725085462208,326.725085462208,306.141218466175,0.1575,25900,3,0.98
23,368.712528580489,326.770023782199,326.770023782199,326.770023782199,326.770023782199,326.770023782199,326.770023782199,326.770023782199,326.770023782199,306.181826594045,0.1575,25900,3,0.98
24,368.757462889972,326.814958091681,326.814958091681,326.814958091681,326.814958091681,326.814958091681,326.814958091681,326.814958091681,326.814958091681,306.222430549202,0.1575,25900,3,0.98
25,368.802393188513,326.859888390223,326.859888390223,326.859888390223,326.859888390223,326.859888390223,326.859888390223,326.859888390223,326.859888390223,306.263030331389,0.1575,25900,3,0.98
26,368.847319475683,326.904814677393,326.904814677393,326.904814677393,326.904814677393,326.904814677393,326.904814677393,326.904814677393,326.904814677393,306.303625940347,0.1575,25900,3,0.98
27,368.892241751051,326.94973695276,326.94973695276,326.94973695276,326.94973695276,326.94973695276,326.94973695276,326.94973695276,326.94973695276,306.344217375816,0.1575,25900,3,0.98
28,368.937160014184,326.994655215893,326.994655215893,326.994655215893,326.994655215893,326.994655215893,326.994655215893,326.994655215893,326.994655215893,306.384804637538,0.1575,25900,3,0.98
29,368.982074264653,327.039569466362,327.039569466362,327.039569466362,327.039569466362,327.039569466362,327.039569466362,327.039569466362,327.039569466362,306.425387725254,0.1575,25900,3,0.98
30,369.026984502028,327.084479703737,327.084479703737,327.084479703737,327.084479703737,327.084479703737,327.084479703737,327.084479703737,327.084479703737,306.465966638707,0.1575,25900,3,0.98
31,369.071890725877,327.129385927586,327.129385927586,327.129385927586,327.129385927586,327.129385927586,327.129385927586,327.129385927586,327.129385927586,306.506541377639,0.1575,25900,3,0.98
32,369.116792935771,327.174288137481,327.174288137481,327.174288137481,327.174288137481,327.174288137481,327.174288137481,327.174288137481,327.174288137481,306.547111941791,0.1575,25900,3,0.98
33,369.161691131281,327.21918633299,327.21918633299,327.21918633299,327.21918633299,327.21918633299,327.21918633299,327.21918633299,327.21918633299,306.587678330906,0.1575,25900,3,0.98
34,369.206585311975,327.264080513684,327.264080513684,327.264080513684,327.264080513684,327.264080513684,327.264080513684,327.264080513684,327.264080513684,306.628240544726,0.1575,25900,3,0.98
35,369.251475477424,327.308970679134,327.308970679134,327.308970679134,327.308970679134,327.308970679134,327.308970679134,327.308970679134,327.308970679134,306.668798582994,0.1575,25900,3,0.98
36,369.2963616272,327.353856828909,327.353856828909,327.353856828909,327.353856828909,327.353856828909,327.353856828909,327.353856828909,327.353856828909,306.709352445454,0.1575,25900,3,0.98
37,369.341243760872,327.398738962582,327.398738962582,327.398738962582,327.398738962582,327.398738962582,327.398738962582,327.398738962582,327.398738962582,306.749902131847,0.1575,25900,3,0.98
38,369.386121878012,327.443617079721,327.443617079721,327.443617079721,327.443617079721,327.443617079721,327.443617079721,327.443617079721,327.443617079721,306.790447641917,0.1575,25900,3,0.98
39,369.43099597819,327.4884911799,327.4884911799,327.4884911799,327.4884911799,327.4884911799,327.4884911799,327.4884911799,327.4884911799,306.830988975408,0.1575,25900,3,0.98
40,369.475866060978,327.533361262688,327.533361262688,327.533361262688,327.533361262688,327.533361262688,327.533361262688,327.533361262688,327.533361262688,306.871526132063,0.1575,25900,3,0.98
41,369.520732125948,327.578227327657,327.578227327657,327.578227327657,327.578227327657,327.578227327657,327.578227327657,327.578227327657,327.578227327657,306.912059111624,0.1575,25900,3,0.98
42,369.565594172669,327.623089374379,327.623089374379,327.623089374379,327.623089374379,327.623089374379,327.623089374379,327.623089374379,327.623089374379,306.952587913837,0.1575,25900,3,0.98
43,369.610452200715,327.667947402425,327.667947402425,327.667947402425,327.667947402425,327.667947402425,327.667947402425,327.667947402425,327.667947402425,306.993112538447,0.1575,25900,3,0.98
44,369.655306209657,327.712801411367,327.712801411367,327.712801411367,327.712801411367,327.712801411367,327.712801411367,327.712801411367,327.712801411367,307.033632985195,0.1575,25900,3,0.98
45,369.700156199068,327.757651400777,327.757651400777,327.757651400777,327.757651400777,327.757651400777,327.757651400777,327.757651400777,327.757651400777,307.074149253828,0.1575,25900,3,0.98
46,369.745002168519,327.802497370228,327.802497370228,327.802497370228,327.802497370228,327.802497370228,327.802497370228,327.802497370228,327.802497370228,307.114661344089,0.1575,25900,3,0.98
47,369.789844117583,327.847339319292,327.847339319292,327.847339319292,327.847339319292,327.847339319292,327.847339319292,327.847339319292,327.847339319292,307.155169255724,0.1575,25900,3,0.98
