Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,375.408288987309,333.465784189019,333.465784189019,333.465784189019,333.465784189019,333.465784189019,333.465784189019,333.465784189019,333.465784189019,315.607431302972,0.1575,25900,3,0.76
1,375.455694201839,333.513189403549,333.513189403549,333.513189403549,333.513189403549,333.513189403549,333.513189403549,333.513189403549,333.513189403549,315.65088139722,0.1575,25900,3,0.76
2,375.503095922578,333.560591124287,333.560591124287,333.560591124287,333.560591124287,333.560591124287,333.560591124287,333.560591124287,333.560591124287,315.694327754036,0.1575,25900,3,0.76
3,375.550494149051,333.60798935076,333.60798935076,333.60798935076,333.60798935076,333.60798935076,333.60798935076,333.60798935076,333.60798935076,315.737770373084,0.1575,25900,3,0.76
4,375.597888880785,333.655384082495,333.655384082495,333.655384082495,333.655384082495,333.655384082495,333.655384082495,333.655384082495,333.655384082495,315.78120925403,0.1575,25900,3,0.76
5,375.64528011731,333.702775319019,333.702775319019,333.702775319019,333.702775319019,333.702775319019,333.702775319019,333.702775319019,333.702775319019,315.824644396539,0.1575,25900,3,0.76
6,375.69266785815,333.75016305986,333.75016305986,333.75016305986,333.75016305986,333.75016305986,333.75016305986,333.75016305986,333.75016305986,315.868075800278,0.1575,25900,3,0.76
7,375.740052102835,333.797547304544,333.797547304544,333.797547304544,333.797547304544,333.797547304544,333.797547304544,333.797547304544,333.797547304544,315.911503464911,0.1575,25900,3,0.76
8,375.787432850891,333.8449280526,333.8449280526,333.8449280526,333.8449280526,333.8449280526,333.8449280526,333.8449280526,333.8449280526,315.954927390103,0.1575,25900,3,0.76
9,375.834810101845,333.892305303555,333.892305303555,333.892305303555,333.892305303555,333.892305303555,333.892305303555,333.892305303555,333.892305303555,315.998347575521,0.1575,25900,3,0.76
10,375.882183855227,333.939679056937,333.939679056937,333.939679056937,333.939679056937,333.939679056937,333.939679056937,333.939679056937,333.939679056937,316.041764020831,0.1575,25900,3,0.76
11,375.929554110564,333.987049312273,333.987049312273,333.987049312273,333.987049312273,333.987049312273,333.987049312273,333.987049312273,333.987049312273,316.0851767257,0.1575,25900,3,0.76
12,375.976920867383,334.034416069092,334.034416069092,334.034416069092,334.034416069092,334.034416069092,334.034416069092,334.034416069092,334.034416069092,316.128585689792,0.1575,25900,3,0.76
13,376.024284125212,334.081779326922,334.081779326922,334.081779326922,334.081779326922,334.081779326922,334.081779326922,334.081779326922,334.081779326922,316.171990912774,0.1575,25900,3,0.76
14,376.071643883581,334.129139085291,334.129139085291,334.129139085291,334.129139085291,334.129139085291,334.129139085291,334.129139085291,334.129139085291,316.215392394313,0.1575,25900,3,0.76
