Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,370.999055478048,329.056550679758,329.056550679758,329.056550679758,329.056550679758,329.056550679758,329.056550679758,329.056550679758,329.056550679758,308.247302420876,0.1575,25900,3,0.98
1,371.043784683342,329.101279885051,329.101279885051,329.101279885051,329.101279885051,329.101279885051,329.101279885051,329.101279885051,329.101279885051,308.287693228017,0.1575,25900,3,0.98
2,371.08850985592,329.14600505763,329.14600505763,329.14600505763,329.14600505763,329.14600505763,329.14600505763,329.14600505763,329.14600505763,308.328079849203,0.1575,25900,3,0.98
3,371.133230995362,329.190726197071,329.190726197071,329.190726197071,329.190726197071,329.190726197071,329.190726197071,329.190726197071,329.190726197071,308.368462284185,0.1575,25900,3,0.98
4,371.177948101243,329.235443302952,329.235443302952,329.235443302952,329.235443302952,329.235443302952,329.235443302952,329.235443302952,329.235443302952,308.40884053271,0.1575,25900,3,0.98
5,371.222661173142,329.280156374851,329.280156374851,329.280156374851,329.280156374851,329.280156374851,329.280156374851,329.280156374851,329.280156374851,308.449214594531,0.1575,25900,3,0.98
6,371.267370210638,329.324865412347,329.324865412347,329.324865412347,329.324865412347,329.324865412347,329.324865412347,329.324865412347,329.324865412347,308.489584469398,0.1575,25900,3,0.98
7,371.312075213307,329.369570415016,329.369570415016,329.369570415016,329.369570415016,329.369570415016,329.369570415016,329.369570415016,329.369570415016,308.529950157061,0.1575,25900,3,0.98
8,371.356776180729,329.414271382439,329.414271382439,329.414271382439,329.414271382439,329.414271382439,329.414271382439,329.414271382439,329.414271382439,308.570311657271,0.1575,25900,3,0.98
9,371.401473112482,329.458968314191,329.458968314191,329.458968314191,329.458968314191,329.458968314191,329.458968314191,329.458968314191,329.458968314191,308.610668969778,0.1575,25900,3,0.98
10,371.446166008144,329.503661209854,329.503661209854,329.503661209854,329.503661209854,329.503661209854,329.503661209854,329.503661209854,329.503661209854,308.651022094336,0.1575,25900,3,0.98
11,371.490854867295,329.548350069004,329.548350069004,329.548350069004,329.548350069004,329.548350069004,329.548350069004,329.548350069004,329.548350069004,308.691371030692,0.1575,25900,3,0.98
12,371.535539689512,329.593034891222,329.593034891222,329.593034891222,329.593034891222,329.593034891222,329.593034891222,329.593034891222,329.593034891222,308.7317157786,0.1575,25900,3,0.98
13,371.580220474377,329.637715676086,329.637715676086,329.637715676086,329.637715676086,329.637715676086,329.637715676086,329.637715676086,329.637715676086,308.772056337812,0.1575,25900,3,0.98
14,371.624897221467,329.682392423176,329.682392423176,329.682392423176,329.682392423176,329.682392423176,329.682392423176,329.682392423176,329.682392423176,308.812392708079,0.1575,25900,3,0.98
15,371.669569930362,329.727065132071,329.727065132071,329.727065132071,329.727065132071,329.727065132071,329.727065132071,329.727065132071,329.727065132071,308.852724889152,0.1575,25900,3,0.98
16,371.714238600642,329.771733802351,329.771733802351,329.771733802351,329.771733802351,329.771733802351,329.771733802351,329.771733802351,329.771733802351,308.893052880785,0.1575,25900,3,0.98
17,371.758903231887,329.816398433596,329.816398433596,329.816398433596,329.816398433596,329.816398433596,329.816398433596,329.816398433596,329.816398433596,308.93337668273,0.1575,25900,3,0.98
18,371.803563823676,329.861059025386,329.861059025386,329.861059025386,329.861059025386,329.861059025386,329.861059025386,329.861059025386,329.861059025386,308.973696294738,0.1575,25900,3,0.98
19,371.84822037559,329.9057155773,329.9057155773,329.9057155773,329.9057155773,329.9057155773,329.9057155773,329.9057155773,329.9057155773,309.014011716563,0.1575,25900,3,0.98
20,371.89287288721,329.95036808892,329.95036808892,329.95036808892,329.95036808892,329.95036808892,329.95036808892,329.95036808892,329.95036808892,309.054322947957,0.1575,25900,3,0.98
21,371.937521358115,329.995016559825,329.995016559825,329.995016559825,329.995016559825,329.995016559825,329.995016559825,329.995016559825,329.995016559825,309.094629988674,0.1575,25900,3,0.98
