Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,319.353627635208,313.72208753014,313.72208753014,315.714811721516,321.185089512043,328.875732928276,337.545455176761,339.723305344943,339.72156990634,317.861052213213,0.1575,25900,20,0.98
1,319.381370318349,313.749830213281,313.749830213281,315.745437578923,321.225395187568,328.929829801106,337.611632757019,339.790681425633,339.788918300428,317.921649722639,0.1575,25900,20,0.98
2,319.409119740222,313.777579635153,313.777579635153,315.776068802556,321.265704067053,328.983925598151,337.677795132795,339.858034736425,339.856243719438,317.982225145668,0.1575,25900,20,0.98
3,319.436875897016,313.805335791948,313.805335791948,315.806705392063,321.3060161492,329.038020307434,337.743942301314,339.925365284918,339.92354617138,318.042778491064,0.1575,25900,20,0.98
4,319.464638784938,313.83309867987,313.83309867987,315.837347347089,321.346331432698,329.092113916992,337.810074259752,339.992673078597,339.990825664222,318.103309767613,0.1575,25900,20,0.98
5,319.492408400202,313.860868295133,313.860868295133,315.867994667273,321.386649916225,329.146206414891,337.876191005491,340.059958125316,340.058082206059,318.163818984016,0.1575,25900,20,0.98
6,319.520184739034,313.888644633966,313.888644633966,315.898647352248,321.426971598449,329.200297789192,337.942292535701,340.12722043247,340.125315804825,318.224306149068,0.1575,25900,20,0.98
7,319.547967797673,313.916427692604,313.916427692604,315.929305401644,321.467296478024,329.254388027986,338.008378847702,340.194460007731,340.192526468548,318.284771271504,0.1575,25900,20,0.98
8,319.575757572366,313.944217467298,313.944217467298,315.959968815083,321.507624553593,329.308477119373,338.074449938788,340.261676858676,340.259714205222,318.345214360073,0.1575,25900,20,0.98
9,319.603554059375,313.972013954306,313.972013954306,315.990637592182,321.547955823788,329.362565051473,338.140505806291,340.328870992934,340.326879022857,318.405635423511,0.1575,25900,20,0.98
10,319.631357254968,313.9998171499,313.9998171499,316.021311732555,321.588290287228,329.416651812414,338.206546447495,340.396042417998,340.394020929415,318.466034470577,0.1575,25900,20,0.98
11,319.659167155429,314.027627050361,314.027627050361,316.051991235808,321.628627942521,329.470737390345,338.272571859747,340.46319114146,340.461139932888,318.526411510008,0.1575,25900,20,0.98
12,319.68698375705,314.055443651982,314.055443651982,316.082676101543,321.668968788263,329.524821773432,338.338582040442,340.530317170978,340.528236041293,318.586766550521,0.1575,25900,20,0.98
13,319.714807056136,314.083266951068,314.083266951068,316.113366329359,321.709312823041,329.578904949847,338.404576986872,340.597420513967,340.595309262559,318.647099600881,0.1575,25900,20,0.98
14,319.742637048999,314.11109694393,314.11109694393,316.144061918845,321.749660045425,329.632986907792,338.470556696511,340.664501178174,340.662359604728,318.70741066978,0.1575,25900,20,0.98
15,319.770473731965,314.138933626897,314.138933626897,316.17476286959,321.790010453979,329.68706763547,338.536521166686,340.731559171023,340.72938707573,318.767699765974,0.1575,25900,20,0.98
16,319.798317101371,314.166776996302,314.166776996302,316.205469181174,321.830364047253,329.741147121106,338.602470394803,340.798594500067,340.796391683536,318.827966898189,0.1575,25900,20,0.98
17,319.826167153562,314.194627048493,314.194627048493,316.236180853173,321.870720823784,329.795225352942,338.668404378317,340.865607172918,340.863373436137,318.888212075133,0.1575,25900,20,0.98
18,319.854023884895,314.222483779826,314.222483779826,316.266897885159,321.911080782099,329.849302319229,338.734323114621,340.932597197039,340.930332341472,318.948435305544,0.1575,25900,20,0.98
19,319.881887291738,314.25034718667,314.25034718667,316.297620276699,321.951443920716,329.903378008242,338.800226601199,340.99956458004,340.997268407527,319.008636598122,0.1575,25900,20,0.98
20,319.909757370469,314.278217265401,314.278217265401,316.328348027353,321.991810238137,329.95745240827,338.866114835551,341.066509329536,341.064181642288,319.068815961565,0.1575,25900,20,0.98
21,319.937634117476,314.306094012408,314.306094012408,316.359081136677,322.032179732854,330.011525507601,338.931987815007,341.133431452765,341.131072053612,319.128973404649,0.1575,25900,20,0.98
22,319.965517537854,314.333977432785,314.333977432785,316.389819393089,322.072551027272,330.065570522058,338.997548967569,341.199742372604,341.197738159484,319.189238966459,0.1575,25900,20,0.98
23,319.993407638057,314.361867532989,314.361867532989,316.420562536139,322.112922418553,330.119555085766,339.062444347616,341.264742926891,341.263940822614,319.249767464189,0.1575,25900,20,0.98
24,320.021304395357,314.389764290288,314.389764290288,316.451311021831,322.153296876479,330.173537395111,339.127321099751,341.330479070696,341.330479070696,319.310274969277,0.1575,25900,20,0.98
25,320.049207806176,314.417667701108,314.417667701108,316.482064849615,322.193674398735,330.227517436038,339.1921792283,341.397712364817,341.397712364817,319.370761487797,0.1575,25900,20,0.98
26,320.077117866951,314.445577761882,314.445577761882,316.512824018935,322.234054982996,330.281495194519,339.257018737599,341.464923715484,341.464923715484,319.431227025827,0.1575,25900,20,0.98
27,320.105034574124,314.473494469056,314.473494469056,316.543588529231,322.274438626921,330.335470656555,339.321839632003,341.532113128159,341.532113128159,319.491671589441,0.1575,25900,20,0.98
28,320.132957924151,314.501417819083,314.501417819083,316.574358379937,322.314825328157,330.389443808172,339.38664191588,341.599280608306,341.599280608306,319.552095184717,0.1575,25900,20,0.98
29,320.160887913495,314.529347808427,314.529347808427,316.605133570481,322.355215084341,330.443414635429,339.451425593615,341.666426161387,341.666426161387,319.612497817733,0.1575,25900,20,0.98
30,320.188824538631,314.557284433563,314.557284433563,316.635914100289,322.395607893093,330.497383124408,339.516190669606,341.73354979287,341.73354979287,319.672879494566,0.1575,25900,20,0.98
31,320.216767796043,314.585227690975,314.585227690975,316.666699968779,322.436003752023,330.551349261221,339.580937148267,341.800651508222,341.800651508222,319.733240221295,0.1575,25900,20,0.98
32,320.244717682225,314.613177577156,314.613177577156,316.697491175364,322.476402658728,330.605313032009,339.645665034025,341.867731312911,341.867731312911,319.793580004,0.1575,25900,20,0.98
33,320.272674193679,314.64113408861,314.64113408861,316.728287719452,322.516804610793,330.65927442294,339.710374331325,341.934789212407,341.934789212407,319.853898848761,0.1575,25900,20,0.98
34,320.300637326918,314.669097221849,314.669097221849,316.759089600448,322.557209605788,330.713233420208,339.775065044623,342.001825212183,342.001825212183,319.914196761659,0.1575,25900,20,0.98
35,320.328607078465,314.697066973397,314.697066973397,316.78989681775,322.597617641272,330.767190010039,339.839737178392,342.068839317711,342.068839317711,319.974473748774,0.1575,25900,20,0.98
36,320.356583444853,314.725043339784,314.725043339784,316.82070937075,322.638028714793,330.821144178682,339.904390737115,342.135831534466,342.135831534466,320.034729816189,0.1575,25900,20,0.98
37,320.384566422621,314.753026317553,314.753026317553,316.851527258837,322.678442823883,330.875095912419,339.969025725294,342.202801867924,342.202801867924,320.094964969986,0.1575,25900,20,0.98
38,320.412556008322,314.781015903254,314.781015903254,316.882350481393,322.718859966065,330.929045197555,340.033642147445,342.269750323563,342.269750323563,320.15517921625,0.1575,25900,20,0.98
39,320.440552198517,314.809012093448,314.809012093448,316.913179037798,322.759280138849,330.982992020426,340.09824000809,342.336676906861,342.336676906861,320.215372561061,0.1575,25900,20,0.98
40,320.468554989772,314.837014884704,314.837014884704,316.944012927424,322.799703339729,331.036936367395,340.162819311776,342.403581623298,342.403581623298,320.275545010507,0.1575,25900,20,0.98
41,320.49656437867,314.865024273602,314.865024273602,316.974852149639,322.840129566193,331.090878224853,340.227380063054,342.470464478357,342.470464478357,320.33569657067,0.1575,25900,20,0.98
42,320.524580361797,314.893040256728,314.893040256728,317.005696703806,322.88055881571,331.144817579217,340.291922266494,342.53732547752,342.53732547752,320.395827247638,0.1575,25900,20,0.98
43,320.55260293575,314.921062830682,314.921062830682,317.036546589283,322.920991085742,331.198754416934,340.356445926679,342.604164626272,342.604164626272,320.455937047496,0.1575,25900,20,0.98
44,320.580632097136,314.949091992068,314.949091992068,317.067401805422,322.961426373737,331.252688724479,340.420951048203,342.670981930099,342.670981930099,320.51602597633,0.1575,25900,20,0.98
45,320.608667372604,314.977127267535,314.977127267535,317.09828011212,323.001982937637,331.308620636788,340.505896084503,342.728038788704,342.727998645453,320.56726797043,0.1575,25900,20,0.98
46,320.636709682047,315.005169576978,315.005169576978,317.129146995275,323.04243108037,331.362653998883,340.571358794554,342.794348702161,342.794304874427,320.626892077516,0.1575,25900,20,0.98
47,320.664758569328,315.03321846426,315.03321846426,317.160019223503,323.0828823542,331.416685738434,340.636806121734,342.860636158217,342.860588486466,320.686494511605,0.1575,25900,20,0.98
48,320.692814031097,315.061273926029,315.061273926029,317.190896796227,323.123336757303,331.470715844117,340.702238064047,342.926901164585,342.92684948954,320.746075281256,0.1575,25900,20,0.98
49,320.720876064013,315.089335958944,315.089335958944,317.221779712868,323.163794287841,331.524744304623,340.767654619501,342.993143728965,342.993087891608,320.805634395028,0.1575,25900,20,0.98
50,320.748944664742,315.117404559673,315.117404559673,317.252667972841,323.204254943966,331.578771108661,340.833055786126,343.059363859064,343.059303700634,320.865171861474,0.1575,25900,20,0.98
51,320.777019829962,315.145479724894,315.145479724894,317.283561575559,323.244718723821,331.632796244954,340.898441561952,343.125561562568,343.12549692457,320.924687689148,0.1575,25900,20,0.98
52,320.805101556359,315.17356145129,315.17356145129,317.314460520427,323.285185625536,331.68681970224,340.963811945048,343.191736847203,343.191667571384,320.984181886591,0.1575,25900,20,0.98
53,320.833189840625,315.201649735556,315.201649735556,317.345364806847,323.325655647231,331.740841469274,341.029166933456,343.257889720617,343.257815649011,321.043654462359,0.1575,25900,20,0.98
54,320.861284679464,315.229744574396,315.229744574396,317.376274434219,323.366128787016,331.794861534824,341.094506525252,343.324020190502,343.323941165401,321.103105424992,0.1575,25900,20,0.98
55,320.88938606959,315.257845964521,315.257845964521,317.407189401934,323.40660504299,331.848879887678,341.159830718535,343.390128264561,343.390044128508,321.162534783027,0.1575,25900,20,0.98
56,320.91749400772,315.285953902651,315.285953902651,317.438109709382,323.447084413241,331.902896516635,341.225139511406,343.456213950471,343.456124546274,321.221942545,0.1575,25900,20,0.98
57,320.945608490585,315.314068385517,315.314068385517,317.469035355947,323.487566895847,331.956911410511,341.290432901951,343.52227725586,343.522182426622,321.281328719456,0.1575,25900,20,0.98
58,320.973729514922,315.342189409853,315.342189409853,317.499966341008,323.528052488875,332.010924558137,341.355710888299,343.588318188402,343.58821777749,321.340693314926,0.1575,25900,20,0.98
59,321.001857077477,315.370316972409,315.370316972409,317.530902663941,323.56854119038,332.064935948362,341.420973468606,343.654336755804,343.654230606825,321.400036339928,0.1575,25900,20,0.98
60,321.029991175006,315.398451069937,315.398451069937,317.561844324118,323.60903299841,332.118945570047,341.486220640986,343.720332965664,343.720220922534,321.459357803004,0.1575,25900,20,0.98
61,321.058131804271,315.426591699203,315.426591699203,317.592791320905,323.649527911,332.172953412069,341.551452403607,343.78630682565,343.78618873255,321.518657712672,0.1575,25900,20,0.98
62,321.086278962044,315.454738856976,315.454738856976,317.623743653664,323.690025926175,332.226959463325,341.616668754649,343.852258343434,343.852134044802,321.57793607745,0.1575,25900,20,0.98
63,321.114432645105,315.482892540037,315.482892540037,317.654701321752,323.730527041948,332.280963712722,341.68186969229,343.918187526651,343.918056867206,321.637192905859,0.1575,25900,20,0.98
64,321.142592850242,315.511052745174,315.511052745174,317.685664324525,323.771031256325,332.334966149183,341.747055214702,343.984094382903,343.983957207665,321.696428206422,0.1575,25900,20,0.98
65,321.170759574252,315.539219469184,315.539219469184,317.716632661329,323.811538567298,332.388966761647,341.812225320091,344.049978919827,344.049835074093,321.755641987651,0.1575,25900,20,0.98
66,321.19893281394,315.567392708871,315.567392708871,317.747606331512,323.852048972852,332.442965539073,341.877380006704,344.115841145115,344.115690474419,321.814834258045,0.1575,25900,20,0.98
67,321.227112566119,315.59557246105,315.59557246105,317.778585334413,323.89256247096,332.496962470428,341.942519272726,344.18168106631,344.181523416522,321.874005026128,0.1575,25900,20,0.98
68,321.25529882761,315.623758722541,315.623758722541,317.809569669367,323.933079059583,332.550957544699,342.007643116423,344.247498691087,344.247333908323,321.933154300395,0.1575,25900,20,0.98
69,321.283491595241,315.651951490173,315.651951490173,317.840559335708,323.973598736674,332.604950750888,342.072751536032,344.313294027036,344.313121957714,321.992282089353,0.1575,25900,20,0.98
70,321.311690865852,315.680150760784,315.680150760784,317.871554332763,324.014121500176,332.65894207801,342.137844529816,344.379067081773,344.378887572591,322.051388401501,0.1575,25900,20,0.98
71,321.339896636288,315.708356531219,315.708356531219,317.902554659855,324.05464734802,332.712931515099,342.202922096054,344.444817862919,344.444630760853,322.110473245334,0.1575,25900,20,0.98
72,321.368108903401,315.736568798333,315.736568798333,317.933560316303,324.095176278128,332.7669190512,342.267984233011,344.510546378041,344.510351530377,322.169536629354,0.1575,25900,20,0.98
73,321.396327664053,315.764787558985,315.764787558985,317.964571301421,324.135708288411,332.820904675376,342.333030938988,344.576252634748,344.576049889055,322.22857856205,0.1575,25900,20,0.98
74,321.424552915115,315.793012810046,315.793012810046,317.995587614522,324.176243376771,332.874888376707,342.398062212315,344.641936640677,344.641725844784,322.287599051902,0.1575,25900,20,0.98
75,321.452784653462,315.821244548393,315.821244548393,318.02660925491,324.216781541098,332.928870144283,342.463078051269,344.707598403347,344.707379405421,322.346598107413,0.1575,25900,20,0.98
76,321.48102287598,315.849482770912,315.849482770912,318.057636221888,324.257322779273,332.982849967216,342.528078454221,344.773237930418,344.77301057887,322.405575737048,0.1575,25900,20,0.98
77,321.509267579562,315.877727474494,315.877727474494,318.088668514755,324.297867089169,333.036827834627,342.593063419481,344.838855229416,344.838619372986,322.464531949301,0.1575,25900,20,0.98
78,321.537518761109,315.905978656041,315.905978656041,318.119706132803,324.338414468644,333.090803735657,342.658032945401,344.904450307922,344.904205795642,322.52346675265,0.1575,25900,20,0.98
79,321.565776417529,315.93423631246,315.93423631246,318.150749075322,324.378964915551,333.144777659459,342.72298703036,344.970023173538,344.969769854716,322.582380155564,0.1575,25900,20,0.98
80,321.594040545737,315.962500440668,315.962500440668,318.181797341597,324.419518427729,333.198749595204,342.787923627471,345.035573833816,345.035311558068,322.641272166519,0.1575,25900,20,0.98
81,321.622311142658,315.990771037589,315.990771037589,318.21285093091,324.460075003011,333.252719532076,342.852829432648,345.101102296305,345.100830913555,322.700142793989,0.1575,25900,20,0.98
82,321.650588205223,316.019048100155,316.019048100155,318.243909842539,324.500634639217,333.306688224569,342.917719712076,345.166608568582,345.166327929042,322.758992046436,0.1575,25900,20,0.98
83,321.678871730371,316.047331625303,316.047331625303,318.274974075755,324.541197334157,333.360656388277,342.982594464186,345.232092658208,345.231802612387,322.817819932325,0.1575,25900,20,0.98
84,321.707161715048,316.075621609979,316.075621609979,318.306043629827,324.581763085632,333.414622520641,343.047453687401,345.297554572706,345.297254971433,322.876626460125,0.1575,25900,20,0.98
85,321.735458156208,316.103918051139,316.103918051139,318.33711850402,324.622331891434,333.468586610854,343.112297380203,345.362994319682,345.362685014051,322.935411638281,0.1575,25900,20,0.98
