Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,323.244310821297,317.612770716228,317.612770716228,319.99226239807,326.789756145284,336.536399088151,348.473087801435,355.178983659091,355.175028386926,335.445913373247,0.1575,25900,20,0.76
1,323.272952377808,317.64141227274,317.64141227274,320.02363062895,326.830589835271,336.591275513742,348.54226627341,355.252004463445,355.248000335531,335.512376917212,0.1575,25900,20,0.76
2,323.301600242492,317.670060137423,317.670060137423,320.055004192482,326.871427034106,336.64615228206,348.611433848903,355.325001669101,355.3209484129,335.578817197459,0.1575,25900,20,0.76
3,323.330254412751,317.698714307682,317.698714307682,320.086383088071,326.91226774095,336.701029384235,348.680590520393,355.397975282854,355.39387262674,335.645234222949,0.1575,25900,20,0.76
4,323.358914885995,317.727374780927,317.727374780927,320.117767315118,326.953111954956,336.755906811424,348.749736280607,355.470925312539,355.466772985102,335.711628002401,0.1575,25900,20,0.76
5,323.387581659641,317.756041554572,317.756041554572,320.149156873023,326.993959675267,336.810784554743,348.818871121798,355.543851763697,355.539649495271,335.777998545067,0.1575,25900,20,0.76
6,323.416254731105,317.784714626036,317.784714626036,320.18055176118,327.034810901018,336.865662605385,348.887995037117,355.616754646027,355.612502165914,335.844345859208,0.1575,25900,20,0.76
7,323.444934097819,317.813393992751,317.813393992751,320.211951978985,327.075665631338,336.920540954532,348.957108019366,355.689633967213,355.685331005042,335.910669953589,0.1575,25900,20,0.76
8,323.473619757215,317.842079652147,317.842079652147,320.243357525831,327.116523865337,336.975419593252,349.026210060314,355.762489730552,355.758136019168,335.976970837954,0.1575,25900,20,0.76
9,323.502311706732,317.870771601663,317.870771601663,320.274768401104,327.157385602134,337.030298512806,349.095301153543,355.83532194712,355.830917217433,336.043248520261,0.1575,25900,20,0.76
10,323.531009956923,317.899469851855,317.899469851855,320.306184686174,327.19824819932,337.085141831805,349.164008612211,355.906457607289,355.903114357373,336.109894980941,0.1575,25900,20,0.76
11,323.559714500101,317.928174395033,317.928174395033,320.337606340503,327.239112545886,337.139962073369,349.232465879451,355.976503973011,355.974931100391,336.176768483077,0.1575,25900,20,0.76
12,323.588425325287,317.956885220219,317.956885220219,320.369033308812,327.279980304079,337.194781927328,349.300909568362,356.046900712756,356.046900712756,336.243619830624,0.1575,25900,20,0.76
13,323.61714242994,317.985602324871,317.985602324871,320.400465590409,327.320851472452,337.249601383004,349.369339673564,356.120247415507,356.120247415507,336.310449029404,0.1575,25900,20,0.76
