Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,300.001782648552,300.001608085283,300.006432575341,300.149355315693,300.719550815553,303.414945435082,315.194909206019,356.314223573157,441.275477920727,428.570175647772,0.1575,25900,100,0.98
1,300.001786087099,300.001612137216,300.006448048667,300.149712846115,300.721249639297,303.422602066145,315.22394623939,356.390563469621,441.384894092043,428.650061531185,0.1575,25900,100,0.98
2,300.001789084869,300.00161567213,300.006461589449,300.150028095469,300.722785878284,303.429981702091,315.253832416486,356.468792995301,441.491788864374,428.729833024225,0.1575,25900,100,0.98
3,300.001792516869,300.001619716321,300.006477033209,300.150385041902,300.724483453157,303.437648347743,315.282945640192,356.545170712966,441.600870924921,428.809490343549,0.1575,25900,100,0.98
4,300.001795955745,300.00162376854,300.006492506631,300.150742661055,300.726184033822,303.445325818082,315.312078449698,356.621528587264,441.709836524277,428.889033703328,0.1575,25900,100,0.98
5,300.00179940151,300.001627828805,300.006508009775,300.151100954178,300.727887624502,303.453014115824,315.341230802038,356.697866550824,441.818685810145,428.968463323686,0.1575,25900,100,0.98
6,300.001802854004,300.001631896924,300.006523541785,300.151459888325,300.729594316687,303.460714773432,315.370426383686,356.774419361111,441.928779614863,429.046430803666,0.1575,25900,100,0.98
7,300.001806313582,300.001635973321,300.006539104517,300.151819531997,300.731303944807,303.46842480581,315.399618690942,356.850726464279,442.037447107804,429.125585070501,0.1575,25900,100,0.98
8,300.001809780089,300.001640057811,300.00655469715,300.152179853398,300.733016595732,303.47614567494,315.428830425629,356.927013536749,442.145999002995,429.204626081875,0.1575,25900,100,0.98
9,300.00181325354,300.001644150411,300.006570319742,300.152540853786,300.734732273682,303.483877383387,315.458061544887,357.003280512841,442.254435448492,429.283554055557,0.1575,25900,100,0.98
10,300.001816733949,300.001648251136,300.006585972355,300.152902534418,300.736450982874,303.491619933682,315.487312005837,357.079527326847,442.362756590359,429.362369210107,0.1575,25900,100,0.98
11,300.001820221329,300.001652360004,300.006601655048,300.153264896555,300.738172727523,303.499373328316,315.516581765684,357.155753914252,442.470962579569,429.441071759059,0.1575,25900,100,0.98
12,300.001823715693,300.001656477029,300.006617367882,300.153627941458,300.739897511843,303.507137569736,315.545870781588,357.231960210352,442.579053563722,429.519661918356,0.1575,25900,100,0.98
13,300.001827217057,300.001660602229,300.006633110917,300.153991670392,300.741625340047,303.514912660347,315.575179010605,357.308146149746,442.687029684871,429.598139908888,0.1575,25900,100,0.98
14,300.001830725434,300.001664735619,300.006648884214,300.154356084622,300.743356216347,303.522698602529,315.604506410056,357.384311669767,442.794891098594,429.676505937376,0.1575,25900,100,0.98
15,300.001834240837,300.001668877216,300.006664687834,300.154721185415,300.745090144951,303.530495398598,315.633852936932,357.460456704927,442.902637942382,429.754760228037,0.1575,25900,100,0.98
16,300.001837763281,300.001673027037,300.006680521836,300.155086974041,300.746827130069,303.538303050862,315.6632185486,357.536581193553,443.010270373685,429.832902984207,0.1575,25900,100,0.98
17,300.001841292779,300.001677185097,300.006696386283,300.15545345177,300.748567175904,303.546121561551,315.692603202065,357.612685070802,443.117788529854,429.910934429254,0.1575,25900,100,0.98
18,300.001844829347,300.001681351413,300.006712281235,300.155820619875,300.750310286665,303.5539509329,315.72200685477,357.68876827624,443.22519257147,429.988854762311,0.1575,25900,100,0.98
19,300.001848372996,300.001685526001,300.006728206754,300.156188479632,300.752056466551,303.561791167064,315.751429463739,357.764830745656,443.332482635689,430.066664204959,0.1575,25900,100,0.98
20,300.001851923743,300.001689708878,300.006744162901,300.156557032315,300.753805719764,303.569642266177,315.780870986211,357.840872417164,443.439658871087,430.144362967489,0.1575,25900,100,0.98
21,300.0018554816,300.001693900061,300.006760149737,300.156926279204,300.755563278483,303.577504232331,315.810331379375,357.916893228592,443.546721422635,430.221951262397,0.1575,25900,100,0.98
22,300.001859046582,300.001698099565,300.006776167324,300.157296221579,300.757324243047,303.585377067593,315.83981060066,357.992893120307,443.653670447768,430.299429289699,0.1575,25900,100,0.98
23,300.001862618703,300.001702307409,300.006792215724,300.15766686072,300.759088314885,303.593260773946,315.869308606922,358.068872027478,443.76050607288,430.37679727934,0.1575,25900,100,0.98
