Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,368.42,369.72,370.29,370.88,370.49,372.62,370.71,371.68,370.9,358.27,,,,,,,,,,,,,,,,,,,,,,
1,368.4,369.69,370.29,370.88,370.49,372.6,370.71,371.73,370.94,358.3,0,,,,,,,,,,,0,,,,,,,,,,
2,368.36,369.67,370.27,370.87,370.48,372.6,370.7,371.78,371.01,358.27,0,,,,,,,,,,,0,,,,,,,,,,
3,368.31,369.63,370.25,370.87,370.48,372.6,370.69,371.79,371.05,358.22,0,,,,,,,,,,,0,,,,,,,,,,
4,368.26,369.59,370.25,370.86,370.46,372.59,370.69,371.79,371.07,358.18,0,,,,,,,,,,,0,,,,,,,,,,
5,368.24,369.56,370.23,370.85,370.45,372.58,370.69,371.76,371.1,358.15,0,,,,,,,,,,,0,,,,,,,,,,
6,368.2,369.53,370.23,370.84,370.44,372.57,370.69,371.72,371.14,358.17,0,,,,,,,,,,,0,,,,,,,,,,
7,368.16,369.5,370.22,370.84,370.45,372.57,370.7,371.7,371.19,358.25,0,,,,,,,,,,,0,,,,,,,,,,
8,368.12,369.47,370.22,370.85,370.45,372.57,370.7,371.69,371.23,358.33,0,,,,,,,,,,,0,,,,,,,,,,
9,368.08,369.44,370.19,370.83,370.44,372.56,370.69,371.66,371.27,358.43,0,,,,,,,,,,,0,,,,,,,,,,
10,368.05,369.41,370.18,370.83,370.44,372.54,370.7,371.65,371.3,358.53,0,,,,,,,,,,,0,,,,,,,,,,
11,368.02,369.39,370.16,370.83,370.42,372.54,370.69,371.63,371.32,358.6,0,,,,,,,,,,,0,,,,,,,,,,
12,367.98,369.37,370.15,370.82,370.42,372.53,370.69,371.61,371.35,358.64,0,,,,,,,,,,,0,,,,,,,,,,
13,367.95,369.35,370.13,370.82,370.41,372.53,370.67,371.62,371.36,358.63,0,,,,,,,,,,,0,,,,,,,,,,
14,367.92,369.33,370.12,370.82,370.4,372.53,370.67,371.62,371.36,358.59,0,,,,,,,,,,,0,,,,,,,,,,
15,367.88,369.31,370.1,370.81,370.4,372.52,370.68,371.67,371.46,358.6,0,,,,,,,,,,,0,,,,,,,,,,
16,367.83,369.29,370.09,370.81,370.4,372.53,370.68,371.74,371.56,358.58,0,,,,,,,,,,,0,,,,,,,,,,
17,367.8,369.28,370.09,370.81,370.41,372.53,370.69,371.8,371.63,358.59,0,,,,,,,,,,,0,,,,,,,,,,
18,367.77,369.26,370.09,370.8,370.41,372.53,370.69,371.83,371.67,358.63,0,,,,,,,,,,,0,,,,,,,,,,
19,367.75,369.24,370.08,370.79,370.39,372.53,370.7,371.85,371.7,358.62,0,,,,,,,,,,,0,,,,,,,,,,
20,367.7,369.21,370.06,370.79,370.39,372.52,370.71,371.87,371.71,358.62,0,,,,,,,,,,,0,,,,,,,,,,
21,367.67,369.21,370.07,370.78,370.39,372.53,370.72,371.94,371.7,358.6,0,,,,,,,,,,,0,,,,,,,,,,
22,367.64,369.18,370.06,370.79,370.39,372.53,370.74,372.01,371.71,358.58,0,,,,,,,,,,,0,,,,,,,,,,
23,367.61,369.16,370.05,370.78,370.39,372.54,370.75,372.09,371.69,358.56,0,,,,,,,,,,,0,,,,,,,,,,
24,367.56,369.12,370.04,370.79,370.38,372.53,370.77,372.13,371.62,358.49,0,,,,,,,,,,,0,,,,,,,,,,
25,367.51,369.09,370.03,370.78,370.38,372.54,370.79,372.15,371.61,358.41,0,,,,,,,,,,,0,,,,,,,,,,
26,367.48,369.06,370.03,370.77,370.38,372.55,370.8,372.15,371.63,358.37,0,,,,,,,,,,,0,,,,,,,,,,
27,367.45,369.04,370.02,370.78,370.38,372.56,370.82,372.16,371.64,358.34,0,,,,,,,,,,,0,,,,,,,,,,
28,367.41,369.02,370.03,370.77,370.38,372.56,370.84,372.17,371.67,358.33,0,,,,,,,,,,,0,,,,,,,,,,
29,367.38,369,370.01,370.77,370.37,372.57,370.85,372.18,371.68,358.34,0,,,,,,,,,,,0,,,,,,,,,,
