Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,365.73,370.02,372.1,373.36,373.09,375.45,373.36,374.27,372.8,339.52,,,,,,,,,,,,,,,,,,,,,,
1,365.68,369.98,372.09,373.35,373.07,375.45,373.35,374.28,372.86,339.52,0,,,,,,,,,,,0,,,,,,,,,,
2,365.63,369.95,372.08,373.34,373.07,375.44,373.35,374.31,372.9,339.49,0,,,,,,,,,,,0,,,,,,,,,,
3,365.58,369.91,372.06,373.33,373.05,375.43,373.34,374.33,372.94,339.46,0,,,,,,,,,,,0,,,,,,,,,,
4,365.53,369.89,372.07,373.32,373.05,375.42,373.35,374.35,372.97,339.45,0,,,,,,,,,,,0,,,,,,,,,,
5,365.49,369.85,372.06,373.32,373.04,375.42,373.35,374.37,373,339.46,0,,,,,,,,,,,0,,,,,,,,,,
6,365.43,369.82,372.04,373.31,373.02,375.42,373.35,374.39,373,339.41,0,,,,,,,,,,,0,,,,,,,,,,
7,365.38,369.79,372.03,373.31,373.03,375.43,373.38,374.43,373.03,339.37,0,,,,,,,,,,,0,,,,,,,,,,
8,365.32,369.76,372.02,373.31,373.02,375.42,373.39,374.45,372.99,339.34,0,,,,,,,,,,,0,,,,,,,,,,
9,365.27,369.75,372,373.3,373.02,375.41,373.4,374.5,372.94,339.34,0,,,,,,,,,,,0,,,,,,,,,,
10,365.23,369.74,372,373.28,373.02,375.41,373.41,374.56,372.95,339.35,0,,,,,,,,,,,0,,,,,,,,,,
11,365.19,369.72,371.99,373.29,373,375.4,373.43,374.59,373.15,339.31,0,,,,,,,,,,,0,,,,,,,,,,
12,365.13,369.7,371.98,373.29,373,375.41,373.43,374.61,373.25,339.25,0,,,,,,,,,,,0,,,,,,,,,,
13,365.08,369.67,371.97,373.28,373,375.41,373.43,374.58,373.27,339.2,0,,,,,,,,,,,0,,,,,,,,,,
14,365.02,369.64,371.97,373.28,372.98,375.42,373.42,374.54,373.22,339.2,0,,,,,,,,,,,0,,,,,,,,,,
15,364.96,369.59,371.94,373.28,372.98,375.41,373.42,374.52,373.18,339.18,0,,,,,,,,,,,0,,,,,,,,,,
16,364.92,369.54,371.94,373.27,372.97,375.41,373.39,374.49,373.19,339.14,0,,,,,,,,,,,0,,,,,,,,,,
17,364.91,369.4,371.93,373.27,372.96,375.4,373.48,374.46,373.25,339.03,0,,,,,,,,,,,0,,,,,,,,,,
18,364.87,369.19,371.93,373.31,372.97,375.41,373.66,374.5,373.35,338.92,0,,,,,,,,,,,0,,,,,,,,,,
19,364.96,369.11,371.94,373.33,373,375.43,373.8,374.6,373.4,338.79,0,,,,,,,,,,,0,,,,,,,,,,
20,365.22,369.16,371.96,373.36,373.01,375.47,373.9,374.74,373.38,338.6,0,,,,,,,,,,,0,,,,,,,,,,
21,365.68,369.37,372,373.36,373.02,375.49,373.98,374.85,373.33,338.42,0,,,,,,,,,,,0,,,,,,,,,,
22,366.2,369.43,372.04,373.39,373.04,375.53,374.01,374.94,373.22,338.25,0,,,,,,,,,,,0,,,,,,,,,,
23,366.6,369.41,372.06,373.42,373.06,375.57,374.02,374.95,373.09,338.19,0,,,,,,,,,,,0,,,,,,,,,,
24,367.01,369.43,372.02,373.49,373.1,375.59,373.85,374.87,372.97,338.16,0,,,,,,,,,,,0,,,,,,,,,,
25,367.59,369.52,372.01,373.57,373.18,375.61,373.77,374.8,372.89,338.11,0,,,,,,,,,,,0,,,,,,,,,,
26,368.03,369.61,372.14,373.62,373.24,375.63,373.72,374.71,372.83,338.09,0,,,,,,,,,,,0,,,,,,,,,,
27,368.37,369.72,372.18,373.68,373.28,375.64,373.74,374.67,372.78,338.08,0,,,,,,,,,,,0,,,,,,,,,,
28,368.75,369.88,372.26,373.74,373.33,375.67,373.78,374.66,372.71,338.03,0,,,,,,,,,,,0,,,,,,,,,,
29,369.14,370.12,372.32,373.78,373.38,375.68,373.81,374.67,372.67,337.89,0,,,,,,,,,,,0,,,,,,,,,,
30,369.43,370.39,372.33,373.86,373.42,375.71,373.89,374.7,372.58,337.72,0,,,,,,,,,,,0,,,,,,,,,,
31,369.64,370.59,372.34,373.92,373.47,375.75,373.92,374.68,372.43,337.52,0,,,,,,,,,,,0,,,,,,,,,,
32,369.83,370.79,372.37,373.98,373.52,375.81,374.05,374.72,372.28,337.33,0,,,,,,,,,,,0,,,,,,,,,,
33,370.01,370.93,372.4,374.01,373.56,375.87,374.19,374.93,372.14,337.11,0,,,,,,,,,,,0,,,,,,,,,,
34,370.2,371.09,372.47,374.05,373.64,375.92,374.46,375,371.96,336.9,0,,,,,,,,,,,0,,,,,,,,,,
35,370.29,371.2,372.52,374.07,373.68,375.96,374.64,375.34,371.91,337.02,0,,,,,,,,,,,0,,,,,,,,,,
36,370.32,371.27,372.57,374.08,373.7,375.97,374.71,375.57,372.08,337.14,0,,,,,,,,,,,0,,,,,,,,,,
37,370.34,371.34,372.6,374.08,373.7,376,374.64,375.82,372.25,337.27,0,,,,,,,,,,,0,,,,,,,,,,
38,370.33,371.4,372.62,374.08,373.7,376.03,374.55,376.07,372.42,337.29,0,,,,,,,,,,,0,,,,,,,,,,
39,370.28,371.43,372.63,374.06,373.68,376.04,374.46,376.18,372.53,337.26,0,,,,,,,,,,,0,,,,,,,,,,
40,370.22,371.47,372.66,374.05,373.69,376.05,374.4,376.02,372.61,337.21,0,,,,,,,,,,,0,,,,,,,,,,
41,370.13,371.51,372.66,374.03,373.67,376.03,374.34,375.75,372.67,337.16,0,,,,,,,,,,,0,,,,,,,,,,
42,370.02,371.54,372.67,374.01,373.66,376.03,374.29,375.64,372.7,337.14,0,,,,,,,,,,,0,,,,,,,,,,
43,369.85,371.55,372.68,374,373.63,376.02,374.2,375.56,372.74,337.16,0,,,,,,,,,,,0,,,,,,,,,,
44,369.67,371.56,372.68,373.98,373.6,376,374.1,375.39,372.73,337.24,0,,,,,,,,,,,0,,,,,,,,,,
45,369.58,371.59,372.69,373.96,373.58,375.99,374.04,375.2,372.71,337.43,0,,,,,,,,,,,0,,,,,,,,,,
46,369.47,371.61,372.7,373.95,373.56,375.98,373.99,375.11,372.76,337.61,0,,,,,,,,,,,0,,,,,,,,,,
