Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,358.84,363.28,366.27,368.28,368.28,370.44,368.54,369.36,368.24,354.82,,,,,,,,,,,,,,,,,,,,,,
1,358.82,363.28,366.26,368.28,368.27,370.44,368.54,369.37,368.25,354.81,0,,,,,,,,,,,0,,,,,,,,,,
2,358.8,363.25,366.24,368.27,368.26,370.43,368.54,369.38,368.33,354.87,0,,,,,,,,,,,0,,,,,,,,,,
3,358.76,363.24,366.23,368.28,368.26,370.44,368.54,369.4,368.41,354.96,0,,,,,,,,,,,0,,,,,,,,,,
4,358.74,363.22,366.21,368.28,368.25,370.44,368.54,369.41,368.44,355.01,0,,,,,,,,,,,0,,,,,,,,,,
5,358.71,363.19,366.19,368.26,368.24,370.43,368.54,369.43,368.5,355.07,0,,,,,,,,,,,0,,,,,,,,,,
6,358.67,363.18,366.19,368.26,368.25,370.43,368.54,369.45,368.56,355.11,0,,,,,,,,,,,0,,,,,,,,,,
7,358.65,363.16,366.18,368.25,368.24,370.43,368.54,369.46,368.63,355.17,0,,,,,,,,,,,0,,,,,,,,,,
8,358.61,363.14,366.16,368.25,368.23,370.43,368.53,369.47,368.68,355.18,0,,,,,,,,,,,0,,,,,,,,,,
9,358.59,363.11,366.17,368.25,368.22,370.43,368.54,369.49,368.74,355.18,0,,,,,,,,,,,0,,,,,,,,,,
10,358.57,363.08,366.15,368.25,368.22,370.43,368.53,369.49,368.77,355.17,0,,,,,,,,,,,0,,,,,,,,,,
11,358.53,363.05,366.13,368.25,368.22,370.44,368.55,369.5,368.82,355.15,0,,,,,,,,,,,0,,,,,,,,,,
12,358.52,363.02,366.13,368.24,368.22,370.44,368.57,369.5,368.85,355.14,0,,,,,,,,,,,0,,,,,,,,,,
13,358.5,363,366.11,368.23,368.21,370.43,368.57,369.51,368.84,355.15,0,,,,,,,,,,,0,,,,,,,,,,
14,358.48,362.98,366.1,368.22,368.21,370.42,368.57,369.53,368.82,355.18,0,,,,,,,,,,,0,,,,,,,,,,
15,358.45,362.96,366.09,368.22,368.21,370.43,368.58,369.56,368.82,355.22,0,,,,,,,,,,,0,,,,,,,,,,
16,358.43,362.94,366.07,368.21,368.21,370.43,368.58,369.56,368.81,355.28,0,,,,,,,,,,,0,,,,,,,,,,
17,358.41,362.92,366.06,368.21,368.2,370.42,368.58,369.56,368.8,355.3,0,,,,,,,,,,,0,,,,,,,,,,
18,358.37,362.91,366.05,368.2,368.2,370.42,368.59,369.57,368.8,355.33,0,,,,,,,,,,,0,,,,,,,,,,
19,358.36,362.9,366.04,368.2,368.2,370.41,368.59,369.57,368.79,355.35,0,,,,,,,,,,,0,,,,,,,,,,
20,358.31,362.87,366.03,368.2,368.2,370.42,368.59,369.57,368.79,355.36,0,,,,,,,,,,,0,,,,,,,,,,
21,358.28,362.85,366.02,368.19,368.2,370.42,368.6,369.57,368.72,355.36,0,,,,,,,,,,,0,,,,,,,,,,
22,358.26,362.84,366.02,368.19,368.19,370.42,368.6,369.57,368.65,355.35,0,,,,,,,,,,,0,,,,,,,,,,
