Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,374.59,375.94,376.68,377.67,377.2,379.37,376.89,377.61,375.66,360.37,,,,,,,,,,,,,,,,,,,,,,
1,374.62,376.02,376.73,377.68,377.21,379.36,376.83,377.56,375.76,360.13,0,,,,,,,,,,,0,,,,,,,,,,
2,374.64,376.08,376.75,377.68,377.2,379.33,376.77,377.51,375.79,359.9,0,,,,,,,,,,,0,,,,,,,,,,
3,374.65,376.15,376.78,377.69,377.19,379.31,376.69,377.44,375.92,359.67,0,,,,,,,,,,,0,,,,,,,,,,
4,374.63,376.18,376.81,377.67,377.19,379.28,376.67,377.44,376.02,359.55,0,,,,,,,,,,,0,,,,,,,,,,
5,374.6,376.15,376.83,377.68,377.19,379.27,376.67,377.46,376.06,359.53,0,,,,,,,,,,,0,,,,,,,,,,
6,374.56,376.08,376.83,377.67,377.18,379.26,376.68,377.5,376.07,359.53,0,,,,,,,,,,,0,,,,,,,,,,
7,374.51,376.07,376.84,377.66,377.17,379.25,376.7,377.55,376.06,359.58,0,,,,,,,,,,,0,,,,,,,,,,
8,374.47,376.09,376.84,377.65,377.16,379.23,376.71,377.57,376.02,359.58,0,,,,,,,,,,,0,,,,,,,,,,
9,374.45,376.11,376.85,377.65,377.14,379.21,376.71,377.58,375.95,359.55,0,,,,,,,,,,,0,,,,,,,,,,
10,374.43,376.14,376.84,377.64,377.13,379.17,376.69,377.55,375.89,359.48,0,,,,,,,,,,,0,,,,,,,,,,
11,374.39,376.15,376.84,377.62,377.12,379.14,376.68,377.55,375.79,359.41,0,,,,,,,,,,,0,,,,,,,,,,
12,374.25,376.15,376.81,377.61,377.08,379.11,376.72,377.52,375.66,359.37,0,,,,,,,,,,,0,,,,,,,,,,
13,374.09,376.1,376.78,377.59,377.03,379.09,376.73,377.32,375.58,359.36,0,,,,,,,,,,,0,,,,,,,,,,
14,373.98,376.05,376.77,377.58,377.03,379.09,376.72,377.19,375.55,359.32,0,,,,,,,,,,,0,,,,,,,,,,
15,373.88,376.05,376.76,377.56,377.01,379.1,376.73,377.05,375.51,359.28,0,,,,,,,,,,,0,,,,,,,,,,
16,373.79,376.03,376.74,377.54,377.01,379.09,376.72,377.08,375.56,359.28,0,,,,,,,,,,,0,,,,,,,,,,
17,373.69,376.01,376.73,377.52,377.02,379.09,376.76,377.2,375.64,359.34,0,,,,,,,,,,,0,,,,,,,,,,
18,373.59,375.97,376.72,377.52,377.01,379.1,376.79,377.3,375.72,359.39,0,,,,,,,,,,,0,,,,,,,,,,
19,373.49,375.93,376.7,377.51,377.01,379.1,376.84,377.37,375.8,359.38,0,,,,,,,,,,,0,,,,,,,,,,
20,373.4,375.9,376.69,377.49,377.02,379.11,376.88,377.51,375.83,359.34,0,,,,,,,,,,,0,,,,,,,,,,
21,373.25,375.86,376.66,377.5,377.03,379.13,376.93,377.59,375.84,359.32,0,,,,,,,,,,,0,,,,,,,,,,
22,373.14,375.84,376.65,377.5,377.06,379.16,376.99,377.66,375.88,359.36,0,,,,,,,,,,,0,,,,,,,,,,
23,373.06,375.82,376.64,377.51,377.07,379.18,377.02,377.74,375.95,359.41,0,,,,,,,,,,,0,,,,,,,,,,
24,372.98,375.79,376.63,377.54,377.08,379.2,377.05,377.78,376.1,359.43,0,,,,,,,,,,,0,,,,,,,,,,
25,372.9,375.76,376.62,377.55,377.08,379.22,377.07,377.82,376.22,359.47,0,,,,,,,,,,,0,,,,,,,,,,
26,372.84,375.73,376.63,377.55,377.08,379.22,377.08,377.84,376.27,359.56,0,,,,,,,,,,,0,,,,,,,,,,
27,372.77,375.69,376.63,377.55,377.09,379.23,377.08,377.89,376.3,359.72,0,,,,,,,,,,,0,,,,,,,,,,
28,372.69,375.65,376.63,377.54,377.08,379.25,377.08,377.94,376.44,359.9,0,,,,,,,,,,,0,,,,,,,,,,
29,372.61,375.61,376.64,377.53,377.08,379.25,377.08,378.01,376.61,360.06,0,,,,,,,,,,,0,,,,,,,,,,
30,372.5,375.53,376.63,377.51,377.1,379.26,377.11,378.1,376.77,360.24,0,,,,,,,,,,,0,,,,,,,,,,
31,372.39,375.44,376.62,377.49,377.09,379.26,377.13,378.19,376.84,360.35,0,,,,,,,,,,,0,,,,,,,,,,
32,372.32,375.36,376.6,377.48,377.09,379.26,377.18,378.32,376.88,360.42,0,,,,,,,,,,,0,,,,,,,,,,
33,372.28,375.3,376.58,377.47,377.08,379.26,377.23,378.43,376.93,360.43,0,,,,,,,,,,,0,,,,,,,,,,
34,372.24,375.26,376.55,377.45,377.09,379.26,377.27,378.55,376.97,360.41,0,,,,,,,,,,,0,,,,,,,,,,
35,372.21,375.22,376.52,377.43,377.08,379.26,377.3,378.61,376.86,360.33,0,,,,,,,,,,,0,,,,,,,,,,
36,372.25,375.15,376.51,377.44,377.05,379.27,377.33,378.71,376.64,360.2,0,,,,,,,,,,,0,,,,,,,,,,
37,372.4,375.13,376.53,377.44,377.04,379.27,377.38,378.76,376.54,360.13,0,,,,,,,,,,,0,,,,,,,,,,
38,372.51,375.09,376.54,377.39,377,379.25,377.38,378.64,376.61,360.12,0,,,,,,,,,,,0,,,,,,,,,,
39,372.8,375.09,376.48,377.36,376.98,379.25,377.34,378.5,376.96,360.14,0,,,,,,,,,,,0,,,,,,,,,,
40,373.22,375.2,376.44,377.36,376.98,379.25,377.39,378.48,377.21,360.19,0,,,,,,,,,,,0,,,,,,,,,,
41,373.56,375.28,376.44,377.4,377,379.26,377.41,378.46,377.25,360.24,0,,,,,,,,,,,0,,,,,,,,,,
42,373.87,375.37,376.44,377.43,377.03,379.29,377.48,378.48,377.25,360.34,0,,,,,,,,,,,0,,,,,,,,,,
43,374.15,375.47,376.46,377.47,377.06,379.32,377.53,378.46,377.24,360.45,0,,,,,,,,,,,0,,,,,,,,,,
44,374.37,375.6,376.47,377.5,377.1,379.36,377.55,378.41,377.17,360.57,0,,,,,,,,,,,0,,,,,,,,,,
45,374.59,375.7,376.49,377.56,377.13,379.39,377.56,378.38,377.12,360.69,0,,,,,,,,,,,0,,,,,,,,,,
46,374.8,375.81,376.51,377.62,377.18,379.43,377.58,378.35,377.1,360.84,0,,,,,,,,,,,0,,,,,,,,,,
47,375.01,375.88,376.54,377.65,377.21,379.45,377.58,378.33,377.07,360.99,0,,,,,,,,,,,0,,,,,,,,,,
48,375.26,376.04,376.59,377.69,377.27,379.48,377.58,378.33,376.99,361.22,0,,,,,,,,,,,0,,,,,,,,,,
49,375.52,376.29,376.68,377.75,377.33,379.52,377.58,378.29,376.8,361.43,0,,,,,,,,,,,0,,,,,,,,,,
50,375.7,376.43,376.76,377.81,377.38,379.56,377.54,378.23,376.69,361.54,0,,,,,,,,,,,0,,,,,,,,,,
51,375.89,376.53,376.85,377.87,377.42,379.58,377.52,378.22,376.68,361.63,0,,,,,,,,,,,0,,,,,,,,,,
52,376.01,376.63,376.93,377.94,377.46,379.62,377.53,378.21,376.66,361.72,0,,,,,,,,,,,0,,,,,,,,,,
53,376.11,376.71,377,378,377.5,379.65,377.54,378.19,376.6,361.82,0,,,,,,,,,,,0,,,,,,,,,,
54,376.26,376.87,377.08,378.06,377.55,379.68,377.54,378.15,376.52,361.93,0,,,,,,,,,,,0,,,,,,,,,,
55,376.4,376.91,377.15,378.12,377.6,379.7,377.53,378.15,376.48,362.02,0,,,,,,,,,,,0,,,,,,,,,,
56,376.46,376.9,377.21,378.16,377.63,379.71,377.5,378.15,376.5,362.1,0,,,,,,,,,,,0,,,,,,,,,,
57,376.51,376.92,377.28,378.21,377.68,379.73,377.47,378.13,376.59,362.21,0,,,,,,,,,,,0,,,,,,,,,,
58,376.57,377,377.35,378.26,377.72,379.75,377.45,378.1,376.63,362.29,0,,,,,,,,,,,0,,,,,,,,,,
59,376.62,376.99,377.41,378.29,377.75,379.76,377.45,378.07,376.68,362.29,0,,,,,,,,,,,0,,,,,,,,,,
60,376.66,377.03,377.44,378.31,377.77,379.77,377.4,377.98,376.66,362.23,0,,,,,,,,,,,0,,,,,,,,,,
61,376.67,377.06,377.46,378.32,377.78,379.77,377.34,377.92,376.52,362.14,0,,,,,,,,,,,0,,,,,,,,,,
62,376.64,377.11,377.49,378.33,377.8,379.79,377.33,377.94,376.44,362.05,0,,,,,,,,,,,0,,,,,,,,,,
63,376.61,377.11,377.52,378.33,377.8,379.8,377.31,377.94,376.44,361.93,0,,,,,,,,,,,0,,,,,,,,,,
64,376.58,377.11,377.54,378.34,377.82,379.78,377.29,377.94,376.45,361.79,0,,,,,,,,,,,0,,,,,,,,,,
65,376.56,377.15,377.57,378.35,377.83,379.77,377.25,377.86,376.35,361.62,0,,,,,,,,,,,0,,,,,,,,,,
66,376.56,377.18,377.6,378.39,377.85,379.76,377.2,377.84,376.19,361.36,0,,,,,,,,,,,0,,,,,,,,,,
