Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,368.63,370.63,372.5,373.83,373.44,375.6,373.05,373.95,372.71,381.49,357.74,,,,,,,,,,,,,,,,,,,,,,
1,368.57,370.62,372.48,373.78,373.4,375.57,373.04,374.01,372.77,381.45,357.78,0,,,,,,,,,,,0,,,,,,,,,,
2,368.51,370.6,372.46,373.73,373.35,375.54,373.01,374.02,372.88,381.55,357.81,0,,,,,,,,,,,0,,,,,,,,,,
3,368.42,370.56,372.42,373.71,373.32,375.51,372.99,374.02,373,381.16,357.86,0,,,,,,,,,,,0,,,,,,,,,,
4,368.33,370.52,372.39,373.68,373.27,375.5,372.96,374,373.23,380.86,357.94,0,,,,,,,,,,,0,,,,,,,,,,
5,368.25,370.47,372.35,373.63,373.23,375.46,372.95,373.93,373.38,380.79,358.03,0,,,,,,,,,,,0,,,,,,,,,,
6,368.21,370.44,372.34,373.59,373.21,375.44,372.93,373.88,373.41,380.32,358.09,0,,,,,,,,,,,0,,,,,,,,,,
7,368.15,370.39,372.31,373.55,373.17,375.42,372.91,373.84,373.39,380.29,358.12,0,,,,,,,,,,,0,,,,,,,,,,
8,368.1,370.35,372.29,373.52,373.14,375.4,372.9,373.81,373.35,380.41,358.11,0,,,,,,,,,,,0,,,,,,,,,,
9,368.04,370.3,372.25,373.48,373.12,375.38,372.88,373.75,373.29,380.62,358.11,0,,,,,,,,,,,0,,,,,,,,,,
10,368,370.26,372.23,373.44,373.09,375.36,372.87,373.69,373.24,380.97,358.1,0,,,,,,,,,,,0,,,,,,,,,,
11,367.96,370.22,372.2,373.43,373.08,375.35,372.86,373.66,373.19,380.84,358.13,0,,,,,,,,,,,0,,,,,,,,,,
12,367.93,370.18,372.17,373.42,373.06,375.35,372.87,373.64,373.15,380.6,358.15,0,,,,,,,,,,,0,,,,,,,,,,
13,367.89,370.15,372.15,373.4,373.05,375.33,372.85,373.63,373.08,380.68,358.18,0,,,,,,,,,,,0,,,,,,,,,,
14,367.85,370.13,372.12,373.39,373.02,375.33,372.85,373.64,373,380.97,358.25,0,,,,,,,,,,,0,,,,,,,,,,
15,367.83,370.12,372.12,373.38,373.02,375.33,372.86,373.64,372.97,381.19,358.33,0,,,,,,,,,,,0,,,,,,,,,,
16,367.8,370.11,372.1,373.38,373.01,375.32,372.85,373.65,372.99,381.31,358.41,0,,,,,,,,,,,0,,,,,,,,,,
17,367.79,370.1,372.08,373.36,373,375.3,372.85,373.66,373.02,382.2,358.47,0,,,,,,,,,,,0,,,,,,,,,,
