Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC_9_5,TC10,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9,Depth_10,Depth_11,Theoretical_Temps_1,Theoretical_Temps_2,Theoretical_Temps_3,Theoretical_Temps_4,Theoretical_Temps_5,Theoretical_Temps_6,Theoretical_Temps_7,Theoretical_Temps_8,Theoretical_Temps_9,Theoretical_Temps_10,Theoretical_Temps_11
0,367.91,370.3,371.72,372.75,372.17,374.54,372.06,372.92,373.39,365.5,355.27,,,,,,,,,,,,,,,,,,,,,,
1,367.89,370.28,371.71,372.73,372.16,374.54,372.06,372.93,373.49,365.49,355.29,0,,,,,,,,,,,0,,,,,,,,,,
2,367.85,370.25,371.69,372.73,372.15,374.54,372.05,372.94,373.6,365.47,355.3,0,,,,,,,,,,,0,,,,,,,,,,
3,367.82,370.22,371.67,372.71,372.14,374.53,372.05,372.97,373.71,365.46,355.36,0,,,,,,,,,,,0,,,,,,,,,,
4,367.77,370.18,371.65,372.7,372.12,374.53,372.05,372.99,373.78,365.48,355.43,0,,,,,,,,,,,0,,,,,,,,,,
5,367.74,370.15,371.64,372.68,372.12,374.52,372.06,373,373.87,365.54,355.49,0,,,,,,,,,,,0,,,,,,,,,,
6,367.7,370.13,371.62,372.68,372.12,374.53,372.07,373.03,373.94,365.62,355.58,0,,,,,,,,,,,0,,,,,,,,,,
7,367.67,370.09,371.61,372.67,372.11,374.53,372.07,373.04,373.99,365.71,355.7,0,,,,,,,,,,,0,,,,,,,,,,
8,367.62,370.06,371.59,372.66,372.1,374.53,372.07,373.07,374.1,365.77,355.81,0,,,,,,,,,,,0,,,,,,,,,,
9,367.59,370.03,371.59,372.66,372.1,374.53,372.08,373.1,374.19,365.81,355.93,0,,,,,,,,,,,0,,,,,,,,,,
10,367.55,370.01,371.57,372.66,372.1,374.54,372.08,373.13,374.19,365.9,356.01,0,,,,,,,,,,,0,,,,,,,,,,
11,367.53,369.98,371.57,372.65,372.1,374.55,372.1,373.15,374.12,365.95,356.08,0,,,,,,,,,,,0,,,,,,,,,,
12,367.49,369.94,371.55,372.65,372.1,374.55,372.11,373.19,374.17,365.95,356.19,0,,,,,,,,,,,0,,,,,,,,,,
13,367.45,369.9,371.53,372.64,372.1,374.55,372.12,373.21,374.21,365.95,356.28,0,,,,,,,,,,,0,,,,,,,,,,
14,367.43,369.88,371.52,372.64,372.1,374.56,372.12,373.25,374.22,365.97,356.28,0,,,,,,,,,,,0,,,,,,,,,,
15,367.4,369.85,371.51,372.64,372.09,374.55,372.13,373.29,374.18,365.98,356.25,0,,,,,,,,,,,0,,,,,,,,,,
16,367.37,369.82,371.49,372.63,372.09,374.56,372.14,373.3,374.14,365.97,356.24,0,,,,,,,,,,,0,,,,,,,,,,
17,367.34,369.78,371.48,372.64,372.08,374.56,372.14,373.34,374.17,365.94,356.21,0,,,,,,,,,,,0,,,,,,,,,,
18,367.3,369.77,371.46,372.63,372.09,374.57,372.14,373.35,374.19,365.93,356.24,0,,,,,,,,,,,0,,,,,,,,,,
19,367.27,369.75,371.45,372.63,372.09,374.57,372.14,373.37,374.21,365.97,356.3,0,,,,,,,,,,,0,,,,,,,,,,
20,367.24,369.72,371.44,372.63,372.09,374.58,372.15,373.38,374.23,366.01,356.36,0,,,,,,,,,,,0,,,,,,,,,,
21,367.19,369.69,371.42,372.63,372.09,374.57,372.16,373.41,374.29,366.06,356.48,0,,,,,,,,,,,0,,,,,,,,,,
22,367.14,369.66,371.4,372.62,372.08,374.58,372.15,373.45,374.31,366.1,356.57,0,,,,,,,,,,,0,,,,,,,,,,
23,367.1,369.64,371.38,372.62,372.08,374.59,372.16,373.46,374.38,366.1,356.61,0,,,,,,,,,,,0,,,,,,,,,,
24,367.06,369.6,371.38,372.62,372.07,374.59,372.16,373.48,374.47,366.06,356.63,0,,,,,,,,,,,0,,,,,,,,,,
25,367.03,369.58,371.35,372.61,372.07,374.59,372.17,373.51,374.54,366.03,356.64,0,,,,,,,,,,,0,,,,,,,,,,
26,366.99,369.56,371.35,372.61,372.08,374.59,372.18,373.52,374.56,365.98,356.59,0,,,,,,,,,,,0,,,,,,,,,,
27,366.97,369.53,371.35,372.61,372.08,374.59,372.2,373.55,374.54,365.91,356.53,0,,,,,,,,,,,0,,,,,,,,,,
28,366.94,369.52,371.35,372.6,372.08,374.59,372.22,373.58,374.49,365.88,356.47,0,,,,,,,,,,,0,,,,,,,,,,
29,366.92,369.48,371.34,372.6,372.08,374.59,372.24,373.62,374.44,365.89,356.42,0,,,,,,,,,,,0,,,,,,,,,,
30,366.88,369.44,371.33,372.6,372.06,374.58,372.26,373.67,374.39,365.95,356.4,0,,,,,,,,,,,0,,,,,,,,,,
31,366.84,369.41,371.32,372.59,372.06,374.59,372.28,373.69,374.42,366.03,356.41,0,,,,,,,,,,,0,,,,,,,,,,
32,366.81,369.37,371.31,372.59,372.06,374.59,372.39,373.73,374.51,366.11,356.45,0,,,,,,,,,,,0,,,,,,,,,,
33,366.78,369.35,371.29,372.58,372.05,374.59,372.47,373.75,374.72,366.25,356.51,0,,,,,,,,,,,0,,,,,,,,,,
34,366.76,369.33,371.29,372.58,372.06,374.59,372.53,373.77,374.96,366.33,356.58,0,,,,,,,,,,,0,,,,,,,,,,
35,366.73,369.31,371.28,372.57,372.05,374.6,372.6,373.79,375.1,366.36,356.6,0,,,,,,,,,,,0,,,,,,,,,,
36,366.7,369.29,371.28,372.57,372.05,374.6,372.69,373.85,375.15,366.38,356.49,0,,,,,,,,,,,0,,,,,,,,,,
37,366.68,369.26,371.27,372.57,372.04,374.62,372.72,373.91,375.13,366.41,356.27,0,,,,,,,,,,,0,,,,,,,,,,
38,366.64,369.23,371.26,372.56,372.05,374.64,372.76,374,375.09,366.38,355.96,0,,,,,,,,,,,0,,,,,,,,,,
39,366.59,369.2,371.25,372.57,372.06,374.69,372.78,374.15,374.88,366,355.3,0,,,,,,,,,,,0,,,,,,,,,,
40,366.55,369.18,371.23,372.57,372.06,374.74,372.8,374.3,374.55,365.42,354.55,0,,,,,,,,,,,0,,,,,,,,,,
41,366.52,369.16,371.22,372.57,372.06,374.76,372.8,374.36,374.26,364.93,354.03,0,,,,,,,,,,,0,,,,,,,,,,
42,366.49,369.14,371.2,372.56,372.05,374.78,372.79,374.4,374.01,364.46,353.49,0,,,,,,,,,,,0,,,,,,,,,,
43,366.47,369.14,371.2,372.56,372.05,374.79,372.77,374.38,373.78,364.05,352.96,0,,,,,,,,,,,0,,,,,,,,,,
44,366.44,369.11,371.17,372.56,372.04,374.8,372.74,374.31,373.52,363.58,352.49,0,,,,,,,,,,,0,,,,,,,,,,
45,366.38,369.09,371.16,372.54,372.04,374.79,372.71,374.23,373.23,363.3,352.14,0,,,,,,,,,,,0,,,,,,,,,,
46,366.32,369,371.12,372.55,372.03,374.8,372.79,374.27,372.98,363.29,351.94,0,,,,,,,,,,,0,,,,,,,,,,
47,366.28,368.9,371.11,372.55,372.02,374.79,372.87,374.38,372.83,363.37,351.87,0,,,,,,,,,,,0,,,,,,,,,,
48,366.23,368.79,371.08,372.53,372.02,374.79,373.05,374.47,372.71,363.38,351.84,0,,,,,,,,,,,0,,,,,,,,,,
49,366.31,368.86,371.09,372.55,372.03,374.79,373.12,374.49,372.59,363.65,351.85,0,,,,,,,,,,,0,,,,,,,,,,
50,366.46,369.03,371.11,372.57,372.06,374.8,373.04,374.41,372.54,363.97,351.95,0,,,,,,,,,,,0,,,,,,,,,,
51,366.63,369.2,371.13,372.59,372.08,374.81,373.07,374.31,372.55,364.32,352.09,0,,,,,,,,,,,0,,,,,,,,,,
52,366.94,369.29,371.1,372.66,372.12,374.84,373.14,374.25,372.55,364.64,352.23,0,,,,,,,,,,,0,,,,,,,,,,
53,367.22,369.33,371.05,372.71,372.15,374.85,373.24,374.25,372.53,364.81,352.31,0,,,,,,,,,,,0,,,,,,,,,,
54,367.49,369.32,371.01,372.77,372.18,374.87,373.21,374.25,372.46,364.86,352.33,0,,,,,,,,,,,0,,,,,,,,,,
55,367.73,369.25,371.02,372.8,372.22,374.91,373.18,374.24,372.37,364.84,352.27,0,,,,,,,,,,,0,,,,,,,,,,
56,367.92,369.23,371.07,372.79,372.25,374.95,373.2,374.19,372.33,364.84,352.18,0,,,,,,,,,,,0,,,,,,,,,,
57,368.06,369.4,371.07,372.75,372.36,375.02,373.18,374.15,372.36,364.95,352.08,0,,,,,,,,,,,0,,,,,,,,,,
58,368.34,369.55,371.03,372.67,372.42,375.06,373.15,374.11,372.37,365.11,352.11,0,,,,,,,,,,,0,,,,,,,,,,
59,368.47,369.61,370.99,372.66,372.45,375.09,373.09,374.06,372.33,365.18,352.21,0,,,,,,,,,,,0,,,,,,,,,,
60,368.58,369.66,370.98,372.7,372.53,375.11,373.01,373.91,372.31,365.13,352.3,0,,,,,,,,,,,0,,,,,,,,,,
61,368.83,369.82,370.98,372.79,372.62,375.13,372.96,373.82,372.32,364.95,352.35,0,,,,,,,,,,,0,,,,,,,,,,
62,369.1,369.94,371.03,372.86,372.68,375.15,372.94,373.75,372.3,364.67,352.35,0,,,,,,,,,,,0,,,,,,,,,,
63,369.3,370.05,371.11,372.9,372.73,375.18,372.92,373.72,372.26,364.37,352.33,0,,,,,,,,,,,0,,,,,,,,,,
64,369.39,370.14,371.19,372.97,372.78,375.2,372.89,373.68,372.2,364.11,352.28,0,,,,,,,,,,,0,,,,,,,,,,
65,369.46,370.23,371.24,373.02,372.81,375.22,372.86,373.65,372.09,363.9,352.15,0,,,,,,,,,,,0,,,,,,,,,,
66,369.52,370.38,371.33,373.08,372.85,375.24,372.82,373.6,371.88,363.92,351.99,0,,,,,,,,,,,0,,,,,,,,,,
67,369.55,370.5,371.41,373.15,372.89,375.27,372.8,373.57,371.67,364.35,352.14,0,,,,,,,,,,,0,,,,,,,,,,
68,369.56,370.55,371.45,373.19,372.91,375.28,372.78,373.54,371.58,364.66,352.33,0,,,,,,,,,,,0,,,,,,,,,,
69,369.57,370.6,371.5,373.23,372.93,375.29,372.75,373.48,371.59,364.96,352.58,0,,,,,,,,,,,0,,,,,,,,,,
70,369.57,370.62,371.54,373.26,372.93,375.28,372.73,373.42,371.65,365.23,352.87,0,,,,,,,,,,,0,,,,,,,,,,
71,369.56,370.64,371.57,373.28,372.93,375.28,372.74,373.45,371.76,365.45,353.17,0,,,,,,,,,,,0,,,,,,,,,,
72,369.55,370.66,371.62,373.3,372.93,375.26,372.73,373.45,371.89,365.63,353.47,0,,,,,,,,,,,0,,,,,,,,,,
73,369.53,370.69,371.65,373.33,372.92,375.26,372.71,373.43,371.99,365.78,353.74,0,,,,,,,,,,,0,,,,,,,,,,
74,369.5,370.71,371.69,373.34,372.91,375.25,372.68,373.42,372.04,365.85,353.94,0,,,,,,,,,,,0,,,,,,,,,,
75,369.46,370.73,371.73,373.35,372.9,375.23,372.64,373.37,372.05,365.86,354.17,0,,,,,,,,,,,0,,,,,,,,,,
76,369.4,370.74,371.77,373.36,372.88,375.23,372.6,373.29,372.01,365.87,354.29,0,,,,,,,,,,,0,,,,,,,,,,
77,369.35,370.73,371.79,373.35,372.86,375.2,372.59,373.24,372,365.89,354.35,0,,,,,,,,,,,0,,,,,,,,,,
78,369.3,370.72,371.81,373.34,372.85,375.19,372.57,373.22,371.98,365.85,354.36,0,,,,,,,,,,,0,,,,,,,,,,
79,369.25,370.71,371.84,373.32,372.83,375.19,372.55,373.25,371.94,365.79,354.37,0,,,,,,,,,,,0,,,,,,,,,,
80,369.19,370.7,371.85,373.3,372.81,375.18,372.54,373.25,371.88,365.73,354.41,0,,,,,,,,,,,0,,,,,,,,,,
81,369.13,370.69,371.87,373.29,372.79,375.17,372.53,373.26,371.78,365.67,354.48,0,,,,,,,,,,,0,,,,,,,,,,
82,369.08,370.68,371.88,373.26,372.78,375.16,372.52,373.26,371.63,365.61,354.57,0,,,,,,,,,,,0,,,,,,,,,,
83,369.02,370.67,371.88,373.24,372.75,375.15,372.51,373.26,371.51,365.59,354.68,0,,,,,,,,,,,0,,,,,,,,,,
84,368.95,370.66,371.88,373.22,372.71,375.14,372.48,373.25,371.52,365.59,354.85,0,,,,,,,,,,,0,,,,,,,,,,
85,368.87,370.64,371.88,373.18,372.69,375.12,372.45,373.24,371.66,365.64,355.01,0,,,,,,,,,,,0,,,,,,,,,,
86,368.82,370.64,371.88,373.15,372.67,375.11,372.44,373.23,371.77,365.65,355.1,0,,,,,,,,,,,0,,,,,,,,,,
87,368.77,370.63,371.89,373.13,372.65,375.09,372.43,373.24,371.83,365.6,355.17,0,,,,,,,,,,,0,,,,,,,,,,
88,368.71,370.63,371.88,373.11,372.64,375.08,372.41,373.25,371.92,365.5,355.22,0,,,,,,,,,,,0,,,,,,,,,,
89,368.64,370.62,371.87,373.09,372.61,375.07,372.41,373.28,372.02,365.37,355.25,0,,,,,,,,,,,0,,,,,,,,,,
90,368.57,370.61,371.88,373.09,372.61,375.07,372.4,373.33,372.11,365.25,355.31,0,,,,,,,,,,,0,,,,,,,,,,
91,368.51,370.6,371.87,373.07,372.59,375.05,372.4,373.35,372.19,365.14,355.37,0,,,,,,,,,,,0,,,,,,,,,,
92,368.45,370.58,371.85,373.06,372.57,375.04,372.4,373.37,372.21,365.06,355.46,0,,,,,,,,,,,0,,,,,,,,,,
93,368.37,370.56,371.84,373.04,372.56,375.04,372.43,373.33,372.25,364.94,355.6,0,,,,,,,,,,,0,,,,,,,,,,
94,368.32,370.53,371.84,373.03,372.54,375.03,372.47,373.34,372.36,364.83,355.73,0,,,,,,,,,,,0,,,,,,,,,,
