Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,360.3,359.61,359.47,359.69,358.95,360.66,358.46,358.98,355.38,333.79,0.1575,19400,3,0.98
1,360.31,359.66,359.49,359.71,358.97,360.66,358.66,359.19,355.57,333.41,0.1575,19400,3,0.98
2,360.35,359.77,359.53,359.76,359.01,360.7,358.85,359.47,355.77,333.24,0.1575,19400,3,0.98
3,360.44,359.9,359.6,359.85,359.06,360.76,359.05,359.74,356.05,333.12,0.1575,19400,3,0.98
4,360.52,360.02,359.67,359.93,359.11,360.84,359.26,359.97,356.36,333.02,0.1575,19400,3,0.98
5,360.61,360.12,359.75,359.98,359.15,360.88,359.44,360.09,356.67,332.94,0.1575,19400,3,0.98
6,360.69,360.21,359.8,360.05,359.22,360.93,359.62,360.2,357.0,332.87,0.1575,19400,3,0.98
7,360.78,360.29,359.83,360.13,359.29,360.99,359.77,360.34,357.32,332.81,0.1575,19400,3,0.98
8,360.86,360.37,359.89,360.2,359.39,361.07,359.84,360.4,357.61,332.8,0.1575,19400,3,0.98
9,360.94,360.46,359.97,360.26,359.51,361.18,359.91,360.39,357.96,332.81,0.1575,19400,3,0.98
10,360.98,360.54,360.06,360.3,359.63,361.3,360.01,360.32,358.24,332.8,0.1575,19400,3,0.98
11,360.97,360.6,360.1,360.33,359.71,361.42,360.08,360.32,358.41,332.83,0.1575,19400,3,0.98
12,361.0,360.66,360.15,360.36,359.79,361.48,360.16,360.35,358.55,332.87,0.1575,19400,3,0.98
13,361.02,360.69,360.18,360.4,359.86,361.58,360.22,360.42,358.63,332.92,0.1575,19400,3,0.98
14,361.06,360.71,360.21,360.45,359.94,361.68,360.23,360.53,358.68,333.02,0.1575,19400,3,0.98
15,361.1,360.72,360.23,360.52,360.03,361.77,360.22,360.63,358.73,333.13,0.1575,19400,3,0.98
16,361.14,360.72,360.25,360.59,360.09,361.86,360.21,360.68,358.81,333.24,0.1575,19400,3,0.98
17,361.18,360.73,360.26,360.67,360.16,361.94,360.2,360.69,358.89,333.36,0.1575,19400,3,0.98
18,361.24,360.78,360.25,360.74,360.26,362.03,360.24,360.68,358.98,333.59,0.1575,19400,3,0.98
19,361.32,360.84,360.22,360.78,360.36,362.08,360.31,360.7,358.99,333.83,0.1575,19400,3,0.98
20,361.37,360.88,360.21,360.82,360.42,362.17,360.38,360.8,358.99,334.03,0.1575,19400,3,0.98
21,361.42,360.9,360.21,360.85,360.47,362.25,360.48,360.88,359.03,334.26,0.1575,19400,3,0.98
22,361.47,360.9,360.22,360.87,360.49,362.3,360.54,361.0,359.04,334.44,0.1575,19400,3,0.98
23,361.51,360.89,360.24,360.87,360.51,362.36,360.57,361.1,359.08,334.62,0.1575,19400,3,0.98
24,361.58,360.87,360.25,360.87,360.52,362.4,360.6,361.13,359.13,334.76,0.1575,19400,3,0.98
25,361.63,360.85,360.26,360.88,360.53,362.43,360.63,361.14,359.18,334.9,0.1575,19400,3,0.98
26,361.69,360.86,360.26,360.89,360.54,362.45,360.61,361.12,359.24,335.01,0.1575,19400,3,0.98
27,361.78,360.91,360.3,360.91,360.58,362.5,360.59,361.08,359.29,335.12,0.1575,19400,3,0.98
28,361.85,360.95,360.36,360.93,360.63,362.54,360.55,361.07,359.26,335.21,0.1575,19400,3,0.98
29,361.84,360.98,360.4,360.97,360.65,362.58,360.5,361.13,359.22,335.29,0.1575,19400,3,0.98
30,361.81,360.99,360.43,361.03,360.68,362.61,360.45,361.2,359.19,335.4,0.1575,19400,3,0.98
31,361.76,360.98,360.46,361.1,360.7,362.66,360.35,361.24,359.19,335.5,0.1575,19400,3,0.98
32,361.7,360.97,360.49,361.16,360.73,362.69,360.27,361.29,359.2,335.6,0.1575,19400,3,0.98
33,361.66,360.96,360.53,361.21,360.77,362.72,360.21,361.31,359.21,335.66,0.1575,19400,3,0.98
34,361.59,360.93,360.58,361.26,360.8,362.76,360.17,361.29,359.26,335.71,0.1575,19400,3,0.98
35,361.54,360.91,360.61,361.29,360.82,362.79,360.13,361.22,359.31,335.77,0.1575,19400,3,0.98
36,361.5,360.91,360.66,361.31,360.85,362.8,360.1,361.17,359.4,335.91,0.1575,19400,3,0.98
37,361.51,360.91,360.71,361.31,360.87,362.81,360.09,361.13,359.36,336.05,0.1575,19400,3,0.98
38,361.55,360.91,360.74,361.29,360.87,362.79,360.09,361.1,359.27,336.15,0.1575,19400,3,0.98
39,361.61,360.91,360.75,361.26,360.87,362.77,360.12,361.06,359.22,336.24,0.1575,19400,3,0.98
40,361.68,360.93,360.77,361.25,360.87,362.76,360.18,361.02,359.23,336.35,0.1575,19400,3,0.98
41,361.75,360.94,360.8,361.2,360.88,362.75,360.24,360.98,359.25,336.46,0.1575,19400,3,0.98
42,361.82,360.95,360.82,361.14,360.86,362.73,360.29,360.94,359.29,336.55,0.1575,19400,3,0.98
43,361.9,360.94,360.86,361.11,360.86,362.7,360.35,360.93,359.36,336.63,0.1575,19400,3,0.98
44,361.98,360.9,360.9,361.09,360.83,362.68,360.43,360.95,359.38,336.78,0.1575,19400,3,0.98
45,362.05,360.83,360.95,361.07,360.81,362.65,360.52,360.96,359.28,337.01,0.1575,19400,3,0.98
46,362.08,360.76,360.97,361.05,360.78,362.62,360.58,361.0,359.13,337.2,0.1575,19400,3,0.98
47,362.09,360.7,360.97,361.04,360.77,362.6,360.64,361.01,358.95,337.37,0.1575,19400,3,0.98
48,362.05,360.64,360.94,361.01,360.73,362.57,360.68,361.04,358.78,337.5,0.1575,19400,3,0.98
49,362.01,360.59,360.92,360.98,360.71,362.53,360.71,361.1,358.63,337.61,0.1575,19400,3,0.98
50,361.96,360.53,360.89,360.95,360.69,362.48,360.71,361.18,358.54,337.72,0.1575,19400,3,0.98
51,361.93,360.53,360.87,360.91,360.66,362.43,360.73,361.25,358.48,337.84,0.1575,19400,3,0.98
52,361.9,360.54,360.85,360.89,360.64,362.4,360.76,361.25,358.45,337.96,0.1575,19400,3,0.98
53,361.87,360.57,360.82,360.9,360.62,362.38,360.76,361.28,358.44,338.05,0.1575,19400,3,0.98
54,361.82,360.56,360.77,360.9,360.6,362.38,360.72,361.31,358.53,338.16,0.1575,19400,3,0.98
55,361.76,360.44,360.69,360.89,360.57,362.38,360.65,361.36,358.61,338.23,0.1575,19400,3,0.98
56,361.72,360.27,360.65,360.88,360.56,362.38,360.59,361.42,358.58,338.29,0.1575,19400,3,0.98
57,361.68,360.18,360.59,360.84,360.54,362.4,360.55,361.45,358.51,338.37,0.1575,19400,3,0.98
58,361.64,360.19,360.52,360.81,360.51,362.41,360.51,361.48,358.39,338.48,0.1575,19400,3,0.98
59,361.56,360.15,360.47,360.78,360.46,362.4,360.44,361.52,358.33,338.62,0.1575,19400,3,0.98
60,361.47,360.07,360.44,360.76,360.42,362.39,360.31,361.55,358.35,338.78,0.1575,19400,3,0.98
61,361.38,360.04,360.43,360.74,360.37,362.37,360.2,361.57,358.43,338.91,0.1575,19400,3,0.98
62,361.32,359.97,360.41,360.68,360.32,362.34,360.16,361.53,358.53,339.04,0.1575,19400,3,0.98
63,361.3,359.86,360.38,360.62,360.24,362.31,360.25,361.48,358.65,339.21,0.1575,19400,3,0.98
64,361.28,359.82,360.36,360.57,360.18,362.27,360.41,361.39,358.74,339.4,0.1575,19400,3,0.98
65,361.27,359.82,360.35,360.53,360.13,362.24,360.5,361.31,358.76,339.54,0.1575,19400,3,0.98
66,361.26,359.84,360.34,360.49,360.11,362.2,360.55,361.25,358.84,339.67,0.1575,19400,3,0.98
67,361.25,359.86,360.33,360.45,360.08,362.18,360.56,361.24,358.94,339.78,0.1575,19400,3,0.98
68,361.26,359.91,360.33,360.43,360.08,362.16,360.57,361.25,359.06,339.88,0.1575,19400,3,0.98
69,361.26,359.94,360.33,360.42,360.09,362.14,360.57,361.26,359.15,339.99,0.1575,19400,3,0.98
70,361.27,359.96,360.34,360.39,360.1,362.13,360.57,361.24,359.19,340.08,0.1575,19400,3,0.98
71,361.26,359.98,360.34,360.37,360.09,362.12,360.61,361.22,359.19,340.21,0.1575,19400,3,0.98
72,361.24,359.98,360.35,360.34,360.1,362.11,360.65,361.21,359.21,340.33,0.1575,19400,3,0.98
73,361.2,359.95,360.35,360.32,360.09,362.1,360.66,361.14,359.2,340.38,0.1575,19400,3,0.98
74,361.18,359.93,360.37,360.3,360.09,362.1,360.68,361.04,359.14,340.44,0.1575,19400,3,0.98
75,361.16,359.92,360.37,360.3,360.08,362.1,360.67,361.02,359.1,340.48,0.1575,19400,3,0.98
76,361.16,359.88,360.39,360.32,360.08,362.09,360.69,361.06,359.12,340.52,0.1575,19400,3,0.98
77,361.18,359.85,360.4,360.37,360.09,362.08,360.73,361.11,359.16,340.56,0.1575,19400,3,0.98
78,361.23,359.84,360.38,360.38,360.08,362.04,360.77,361.14,359.19,340.59,0.1575,19400,3,0.98
79,361.31,359.84,360.38,360.36,360.1,362.0,360.75,361.16,359.24,340.63,0.1575,19400,3,0.98
80,361.42,359.85,360.39,360.32,360.1,361.95,360.66,361.18,359.3,340.64,0.1575,19400,3,0.98
81,361.54,359.89,360.37,360.29,360.09,361.91,360.48,361.18,359.43,340.69,0.1575,19400,3,0.98
82,361.59,359.9,360.38,360.29,360.08,361.88,360.35,361.17,359.6,340.78,0.1575,19400,3,0.98
83,361.61,359.86,360.37,360.31,360.07,361.87,360.3,361.14,359.7,340.84,0.1575,19400,3,0.98
84,361.61,359.82,360.35,360.32,360.08,361.84,360.29,361.1,359.77,340.9,0.1575,19400,3,0.98
85,361.55,359.83,360.35,360.35,360.1,361.84,360.28,361.06,359.83,340.96,0.1575,19400,3,0.98
86,361.47,359.82,360.35,360.4,360.12,361.84,360.27,361.03,359.85,340.99,0.1575,19400,3,0.98
87,361.41,359.83,360.34,360.44,360.13,361.85,360.27,361.02,359.88,341.01,0.1575,19400,3,0.98
88,361.35,359.84,360.34,360.48,360.12,361.86,360.27,361.04,359.89,341.03,0.1575,19400,3,0.98
89,361.32,359.87,360.34,360.52,360.12,361.86,360.29,361.07,359.9,341.05,0.1575,19400,3,0.98
90,361.28,359.89,360.33,360.56,360.12,361.84,360.37,361.14,359.88,341.12,0.1575,19400,3,0.98
91,361.22,359.8,360.28,360.6,360.12,361.82,360.47,361.21,359.85,341.19,0.1575,19400,3,0.98
92,361.16,359.67,360.26,360.62,360.13,361.81,360.55,361.2,359.84,341.24,0.1575,19400,3,0.98
93,361.11,359.56,360.19,360.63,360.13,361.83,360.57,361.16,359.85,341.26,0.1575,19400,3,0.98
94,361.06,359.43,360.11,360.64,360.14,361.83,360.57,361.1,359.86,341.3,0.1575,19400,3,0.98
95,360.99,359.3,360.03,360.61,360.16,361.83,360.54,361.08,359.84,341.32,0.1575,19400,3,0.98
96,360.9,359.21,359.96,360.59,360.16,361.84,360.54,361.1,359.8,341.35,0.1575,19400,3,0.98
97,360.81,359.19,359.89,360.54,360.15,361.84,360.55,361.13,359.75,341.38,0.1575,19400,3,0.98
98,360.72,359.2,359.82,360.5,360.11,361.87,360.56,361.18,359.69,341.4,0.1575,19400,3,0.98
99,360.61,359.26,359.82,360.46,360.09,361.89,360.59,361.2,359.68,341.45,0.1575,19400,3,0.98
100,360.56,359.25,359.83,360.42,360.05,361.91,360.59,361.2,359.71,341.52,0.1575,19400,3,0.98
101,360.55,359.2,359.82,360.39,360.03,361.91,360.55,361.22,359.77,341.59,0.1575,19400,3,0.98
102,360.55,359.17,359.83,360.35,360.0,361.91,360.52,361.25,359.83,341.65,0.1575,19400,3,0.98
103,360.57,359.12,359.83,360.34,359.98,361.92,360.5,361.29,359.89,341.7,0.1575,19400,3,0.98
104,360.6,359.03,359.82,360.33,359.94,361.9,360.53,361.34,359.93,341.76,0.1575,19400,3,0.98
105,360.63,358.96,359.84,360.32,359.92,361.87,360.58,361.38,359.96,341.8,0.1575,19400,3,0.98
106,360.63,358.9,359.84,360.3,359.91,361.81,360.64,361.4,359.93,341.86,0.1575,19400,3,0.98
107,360.58,358.88,359.85,360.29,359.88,361.75,360.68,361.36,359.79,341.92,0.1575,19400,3,0.98
108,360.51,358.85,359.87,360.29,359.84,361.69,360.71,361.28,359.67,341.99,0.1575,19400,3,0.98
109,360.5,358.82,359.87,360.29,359.81,361.62,360.71,361.23,359.65,342.09,0.1575,19400,3,0.98
110,360.49,358.77,359.87,360.27,359.77,361.58,360.68,361.18,359.67,342.2,0.1575,19400,3,0.98
111,360.46,358.75,359.86,360.25,359.74,361.54,360.62,361.16,359.72,342.35,0.1575,19400,3,0.98
112,360.4,358.73,359.85,360.23,359.7,361.5,360.58,361.12,359.78,342.48,0.1575,19400,3,0.98
113,360.37,358.74,359.84,360.19,359.67,361.5,360.57,361.1,359.84,342.6,0.1575,19400,3,0.98
114,360.35,358.75,359.83,360.14,359.64,361.5,360.57,361.07,359.88,342.68,0.1575,19400,3,0.98
115,360.35,358.78,359.82,360.07,359.61,361.51,360.6,361.03,359.9,342.76,0.1575,19400,3,0.98
116,360.36,358.81,359.8,360.02,359.58,361.5,360.65,360.96,359.91,342.87,0.1575,19400,3,0.98
117,360.37,358.87,359.8,360.01,359.57,361.51,360.71,360.92,359.9,342.97,0.1575,19400,3,0.98
118,360.32,358.87,359.81,360.0,359.56,361.49,360.71,360.95,359.89,343.05,0.1575,19400,3,0.98
119,360.3,358.83,359.81,360.0,359.55,361.49,360.71,361.01,359.88,343.13,0.1575,19400,3,0.98
120,360.3,358.79,359.8,360.01,359.54,361.46,360.69,361.05,359.85,343.21,0.1575,19400,3,0.98
121,360.31,358.77,359.79,360.03,359.53,361.47,360.68,361.07,359.82,343.3,0.1575,19400,3,0.98
122,360.34,358.75,359.78,360.04,359.52,361.48,360.68,361.09,359.83,343.39,0.1575,19400,3,0.98
123,360.35,358.75,359.78,360.06,359.53,361.49,360.68,361.14,359.88,343.46,0.1575,19400,3,0.98
124,360.36,358.74,359.76,360.08,359.54,361.52,360.68,361.19,359.93,343.51,0.1575,19400,3,0.98
125,360.36,358.76,359.75,360.13,359.58,361.56,360.71,361.23,360.01,343.59,0.1575,19400,3,0.98
126,360.41,358.79,359.74,360.17,359.61,361.59,360.76,361.25,360.03,343.67,0.1575,19400,3,0.98
127,360.47,358.81,359.72,360.2,359.65,361.64,360.79,361.29,360.02,343.72,0.1575,19400,3,0.98
128,360.54,358.85,359.68,360.24,359.69,361.68,360.81,361.3,360.01,343.79,0.1575,19400,3,0.98
129,360.62,358.88,359.65,360.27,359.74,361.72,360.83,361.33,360.0,343.84,0.1575,19400,3,0.98
130,360.68,358.91,359.62,360.27,359.76,361.76,360.81,361.39,359.97,343.87,0.1575,19400,3,0.98
