Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,359.94,359.53,359.96,360.42,359.73,361.72,359.08,359.64,355.23,326.13,0.1575,21250,3,0.76
1,359.98,359.58,359.99,360.44,359.75,361.73,359.21,359.79,355.49,326.1,0.1575,21250,3,0.76
2,360.07,359.7,360.04,360.5,359.78,361.78,359.37,360.03,355.76,326.09,0.1575,21250,3,0.76
3,360.17,359.83,360.11,360.6,359.84,361.85,359.57,360.27,355.96,326.11,0.1575,21250,3,0.76
4,360.28,359.99,360.2,360.71,359.92,361.95,359.75,360.51,356.17,326.2,0.1575,21250,3,0.76
5,360.41,360.14,360.3,360.84,360.02,362.05,359.94,360.7,356.44,326.35,0.1575,21250,3,0.76
6,360.52,360.29,360.39,360.95,360.11,362.14,360.08,360.86,356.76,326.51,0.1575,21250,3,0.76
7,360.68,360.48,360.54,361.06,360.28,362.23,360.3,360.99,357.28,326.76,0.1575,21250,3,0.76
8,360.83,360.66,360.65,361.18,360.44,362.34,360.48,361.14,357.74,327.0,0.1575,21250,3,0.76
9,360.93,360.75,360.71,361.31,360.53,362.45,360.57,361.29,358.0,327.16,0.1575,21250,3,0.76
10,361.02,360.85,360.76,361.43,360.64,362.55,360.67,361.4,358.24,327.35,0.1575,21250,3,0.76
11,361.11,360.93,360.83,361.54,360.73,362.65,360.77,361.5,358.46,327.5,0.1575,21250,3,0.76
12,361.18,360.99,360.89,361.65,360.82,362.72,360.86,361.59,358.67,327.67,0.1575,21250,3,0.76
13,361.21,361.07,360.95,361.75,360.89,362.8,360.93,361.7,358.84,327.81,0.1575,21250,3,0.76
14,361.25,361.13,361.02,361.82,360.96,362.84,360.98,361.79,359.0,327.95,0.1575,21250,3,0.76
15,361.29,361.19,361.08,361.92,361.02,362.9,361.05,361.91,359.14,328.08,0.1575,21250,3,0.76
16,361.38,361.24,361.17,362.0,361.13,362.95,361.15,361.99,359.32,328.28,0.1575,21250,3,0.76
17,361.45,361.23,361.24,362.09,361.22,363.0,361.25,362.06,359.46,328.48,0.1575,21250,3,0.76
18,361.49,361.21,361.27,362.18,361.26,363.05,361.31,362.1,359.51,328.61,0.1575,21250,3,0.76
19,361.51,361.18,361.29,362.26,361.3,363.1,361.39,362.15,359.51,328.73,0.1575,21250,3,0.76
20,361.56,361.18,361.28,362.32,361.33,363.14,361.48,362.2,359.49,328.85,0.1575,21250,3,0.76
21,361.6,361.19,361.29,362.35,361.38,363.15,361.54,362.24,359.43,328.97,0.1575,21250,3,0.76
22,361.62,361.23,361.29,362.38,361.42,363.16,361.61,362.28,359.34,329.1,0.1575,21250,3,0.76
23,361.66,361.28,361.3,362.4,361.47,363.17,361.67,362.31,359.23,329.26,0.1575,21250,3,0.76
24,361.67,361.32,361.34,362.41,361.5,363.17,361.71,362.29,359.13,329.41,0.1575,21250,3,0.76
25,361.73,361.35,361.4,362.44,361.54,363.18,361.73,362.24,358.98,329.64,0.1575,21250,3,0.76
26,361.79,361.33,361.47,362.46,361.59,363.21,361.74,362.18,358.83,329.89,0.1575,21250,3,0.76
27,361.83,361.32,361.52,362.48,361.62,363.23,361.75,362.1,358.76,330.08,0.1575,21250,3,0.76
28,361.85,361.32,361.57,362.47,361.66,363.25,361.76,362.06,358.75,330.28,0.1575,21250,3,0.76
29,361.89,361.32,361.6,362.49,361.68,363.29,361.76,362.03,358.8,330.48,0.1575,21250,3,0.76
30,361.92,361.28,361.63,362.48,361.72,363.33,361.76,362.02,358.87,330.65,0.1575,21250,3,0.76
31,361.97,361.21,361.65,362.47,361.74,363.38,361.75,362.02,358.9,330.79,0.1575,21250,3,0.76
32,362.04,361.16,361.66,362.46,361.75,363.42,361.78,362.04,358.93,330.92,0.1575,21250,3,0.76
33,362.09,361.14,361.67,362.45,361.76,363.45,361.79,362.08,358.93,331.04,0.1575,21250,3,0.76
34,362.21,361.22,361.65,362.42,361.75,363.46,361.82,362.13,358.95,331.23,0.1575,21250,3,0.76
35,362.32,361.32,361.64,362.41,361.73,363.48,361.82,362.17,358.99,331.44,0.1575,21250,3,0.76
36,362.38,361.33,361.65,362.4,361.69,363.51,361.84,362.23,359.06,331.56,0.1575,21250,3,0.76
37,362.4,361.33,361.65,362.39,361.66,363.54,361.86,362.27,359.15,331.69,0.1575,21250,3,0.76
38,362.41,361.34,361.65,362.39,361.62,363.57,361.87,362.31,359.23,331.81,0.1575,21250,3,0.76
39,362.4,361.34,361.65,362.39,361.59,363.58,361.85,362.34,359.31,331.92,0.1575,21250,3,0.76
40,362.41,361.38,361.65,362.38,361.59,363.61,361.87,362.36,359.4,332.06,0.1575,21250,3,0.76
41,362.42,361.4,361.65,362.38,361.58,363.63,361.89,362.34,359.5,332.2,0.1575,21250,3,0.76
42,362.42,361.42,361.65,362.38,361.56,363.64,361.91,362.33,359.61,332.35,0.1575,21250,3,0.76
43,362.47,361.43,361.66,362.39,361.54,363.63,361.9,362.38,359.82,332.61,0.1575,21250,3,0.76
44,362.54,361.42,361.66,362.4,361.53,363.6,361.91,362.46,360.02,332.84,0.1575,21250,3,0.76
45,362.57,361.41,361.64,362.39,361.52,363.56,361.89,362.55,360.13,332.99,0.1575,21250,3,0.76
46,362.61,361.38,361.61,362.37,361.51,363.53,361.86,362.63,360.21,333.15,0.1575,21250,3,0.76
47,362.65,361.36,361.59,362.37,361.49,363.48,361.85,362.64,360.27,333.29,0.1575,21250,3,0.76
48,362.67,361.34,361.57,362.4,361.48,363.44,361.86,362.62,360.28,333.45,0.1575,21250,3,0.76
49,362.67,361.32,361.55,362.41,361.48,363.43,361.87,362.59,360.29,333.61,0.1575,21250,3,0.76
50,362.67,361.3,361.53,362.42,361.46,363.41,361.84,362.53,360.29,333.75,0.1575,21250,3,0.76
51,362.65,361.28,361.54,362.43,361.46,363.4,361.83,362.46,360.33,333.88,0.1575,21250,3,0.76
52,362.65,361.24,361.55,362.41,361.47,363.4,361.78,362.41,360.41,334.04,0.1575,21250,3,0.76
53,362.64,361.2,361.59,362.39,361.47,363.41,361.72,362.41,360.49,334.18,0.1575,21250,3,0.76
54,362.62,361.15,361.59,362.37,361.48,363.44,361.67,362.44,360.52,334.27,0.1575,21250,3,0.76
55,362.6,361.13,361.62,362.35,361.49,363.45,361.61,362.46,360.53,334.35,0.1575,21250,3,0.76
56,362.58,361.13,361.63,362.35,361.5,363.46,361.58,362.46,360.52,334.43,0.1575,21250,3,0.76
57,362.58,361.13,361.64,362.34,361.51,363.48,361.6,362.45,360.49,334.49,0.1575,21250,3,0.76
58,362.62,361.14,361.65,362.33,361.53,363.5,361.63,362.47,360.42,334.57,0.1575,21250,3,0.76
59,362.65,361.13,361.65,362.32,361.56,363.53,361.65,362.52,360.35,334.64,0.1575,21250,3,0.76
60,362.7,361.12,361.65,362.29,361.59,363.57,361.61,362.54,360.26,334.72,0.1575,21250,3,0.76
61,362.79,361.14,361.65,362.25,361.64,363.59,361.52,362.55,360.14,334.84,0.1575,21250,3,0.76
62,362.85,361.17,361.64,362.22,361.69,363.64,361.5,362.55,360.06,334.96,0.1575,21250,3,0.76
63,362.86,361.19,361.63,362.19,361.71,363.65,361.53,362.57,360.05,335.05,0.1575,21250,3,0.76
64,362.86,361.2,361.62,362.15,361.73,363.67,361.61,362.6,360.08,335.14,0.1575,21250,3,0.76
65,362.88,361.22,361.61,362.12,361.75,363.67,361.72,362.65,360.09,335.25,0.1575,21250,3,0.76
66,362.87,361.24,361.61,362.1,361.76,363.68,361.79,362.65,360.1,335.39,0.1575,21250,3,0.76
67,362.86,361.27,361.6,362.09,361.76,363.69,361.84,362.66,360.1,335.52,0.1575,21250,3,0.76
68,362.86,361.28,361.59,362.08,361.75,363.66,361.89,362.64,360.08,335.65,0.1575,21250,3,0.76
69,362.86,361.3,361.59,362.07,361.75,363.64,361.93,362.62,360.09,335.79,0.1575,21250,3,0.76
70,362.86,361.33,361.57,362.07,361.74,363.64,361.94,362.61,360.17,335.95,0.1575,21250,3,0.76
