Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,359.62,359.2,359.77,360.13,359.49,361.24,358.32,358.58,354.64,332.14,0.1575,25900,3,0.98
1,359.59,359.26,359.68,360.13,359.47,361.23,358.31,358.9,354.71,331.75,0.1575,25900,3,0.98
2,359.6,359.37,359.64,360.21,359.48,361.25,358.4,359.22,354.97,331.56,0.1575,25900,3,0.98
3,359.64,359.49,359.68,360.31,359.5,361.29,358.52,359.44,355.26,331.4,0.1575,25900,3,0.98
4,359.72,359.64,359.73,360.38,359.52,361.31,358.65,359.53,355.56,331.29,0.1575,25900,3,0.98
5,359.79,359.78,359.8,360.48,359.56,361.32,358.75,359.64,355.88,331.2,0.1575,25900,3,0.98
6,359.87,359.92,359.86,360.58,359.61,361.35,358.83,359.73,356.2,331.13,0.1575,25900,3,0.98
7,359.94,360.06,359.93,360.68,359.64,361.36,358.89,359.87,356.49,331.05,0.1575,25900,3,0.98
8,359.98,360.19,359.98,360.77,359.66,361.4,358.96,360.0,356.73,330.96,0.1575,25900,3,0.98
9,360.01,360.35,360.08,360.84,359.74,361.42,358.93,360.09,357.02,330.84,0.1575,25900,3,0.98
10,360.03,360.46,360.19,360.95,359.83,361.47,358.98,360.25,357.19,330.75,0.1575,25900,3,0.98
11,360.06,360.46,360.26,361.06,359.91,361.53,359.05,360.4,357.23,330.73,0.1575,25900,3,0.98
12,360.09,360.42,360.33,361.15,359.97,361.6,359.18,360.5,357.27,330.72,0.1575,25900,3,0.98
13,360.14,360.37,360.37,361.24,360.05,361.68,359.36,360.56,357.35,330.73,0.1575,25900,3,0.98
14,360.18,360.32,360.4,361.33,360.11,361.75,359.5,360.59,357.41,330.74,0.1575,25900,3,0.98
15,360.22,360.26,360.43,361.42,360.17,361.83,359.58,360.63,357.52,330.79,0.1575,25900,3,0.98
16,360.26,360.22,360.46,361.51,360.24,361.9,359.65,360.7,357.59,330.85,0.1575,25900,3,0.98
17,360.3,360.2,360.5,361.6,360.3,361.96,359.7,360.8,357.66,330.93,0.1575,25900,3,0.98
18,360.37,360.22,360.55,361.66,360.4,361.99,359.76,360.85,357.8,331.05,0.1575,25900,3,0.98
19,360.43,360.25,360.58,361.74,360.48,362.03,359.88,360.91,357.88,331.18,0.1575,25900,3,0.98
20,360.47,360.24,360.6,361.81,360.54,362.07,359.98,360.98,357.89,331.25,0.1575,25900,3,0.98
21,360.5,360.26,360.62,361.88,360.59,362.13,360.1,361.05,357.88,331.3,0.1575,25900,3,0.98
22,360.54,360.31,360.61,361.95,360.65,362.19,360.22,361.14,357.85,331.36,0.1575,25900,3,0.98
23,360.56,360.36,360.62,361.98,360.71,362.26,360.29,361.27,357.84,331.43,0.1575,25900,3,0.98
24,360.59,360.41,360.62,362.02,360.76,362.31,360.37,361.39,357.9,331.54,0.1575,25900,3,0.98
25,360.61,360.46,360.64,362.07,360.81,362.34,360.43,361.46,358.0,331.65,0.1575,25900,3,0.98
26,360.64,360.49,360.64,362.11,360.84,362.38,360.46,361.53,358.16,331.76,0.1575,25900,3,0.98
27,360.68,360.58,360.65,362.12,360.87,362.4,360.39,361.52,358.36,331.93,0.1575,25900,3,0.98
28,360.73,360.67,360.64,362.12,360.9,362.43,360.33,361.48,358.45,332.05,0.1575,25900,3,0.98
29,360.74,360.73,360.63,362.11,360.91,362.48,360.34,361.48,358.46,332.09,0.1575,25900,3,0.98
30,360.76,360.78,360.65,362.11,360.91,362.5,360.39,361.51,358.45,332.11,0.1575,25900,3,0.98
31,360.77,360.83,360.66,362.13,360.92,362.56,360.44,361.55,358.43,332.13,0.1575,25900,3,0.98
32,360.8,360.89,360.66,362.14,360.92,362.63,360.44,361.57,358.41,332.16,0.1575,25900,3,0.98
33,360.83,360.96,360.67,362.15,360.92,362.67,360.4,361.58,358.42,332.21,0.1575,25900,3,0.98
34,360.86,360.99,360.69,362.16,360.93,362.71,360.35,361.6,358.44,332.23,0.1575,25900,3,0.98
35,360.87,361.02,360.72,362.15,360.95,362.73,360.3,361.66,358.43,332.28,0.1575,25900,3,0.98
36,360.88,361.03,360.75,362.15,360.97,362.76,360.25,361.66,358.41,332.37,0.1575,25900,3,0.98
37,360.89,361.01,360.77,362.15,360.99,362.77,360.24,361.67,358.44,332.49,0.1575,25900,3,0.98
38,360.9,360.99,360.76,362.16,361.0,362.8,360.23,361.68,358.46,332.58,0.1575,25900,3,0.98
39,360.9,360.96,360.76,362.17,361.04,362.83,360.22,361.68,358.48,332.68,0.1575,25900,3,0.98
40,360.9,360.92,360.76,362.17,361.07,362.85,360.2,361.65,358.54,332.79,0.1575,25900,3,0.98
41,360.91,360.9,360.76,362.18,361.09,362.87,360.19,361.62,358.61,332.9,0.1575,25900,3,0.98
42,360.89,360.84,360.76,362.22,361.11,362.9,360.23,361.58,358.68,332.99,0.1575,25900,3,0.98
43,360.84,360.81,360.77,362.25,361.14,362.91,360.32,361.55,358.73,333.09,0.1575,25900,3,0.98
44,360.81,360.77,360.78,362.27,361.17,362.94,360.41,361.56,358.79,333.16,0.1575,25900,3,0.98
45,360.78,360.75,360.79,362.3,361.24,362.94,360.47,361.54,358.85,333.28,0.1575,25900,3,0.98
46,360.77,360.74,360.82,362.33,361.32,362.94,360.46,361.52,358.81,333.36,0.1575,25900,3,0.98
