Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,358.88,358.26,359.08,359.42,358.75,360.77,357.73,358.29,355.79,331.28,0.1575,25900,20,0.98
1,358.84,358.24,359.06,359.39,358.72,360.75,357.73,358.44,355.62,330.93,0.1575,25900,20,0.98
2,358.81,358.22,359.05,359.39,358.69,360.73,357.81,358.71,355.61,330.62,0.1575,25900,20,0.98
3,358.73,358.16,359.06,359.4,358.66,360.74,358.01,358.98,355.74,330.35,0.1575,25900,20,0.98
4,358.61,358.09,359.08,359.41,358.63,360.76,358.21,359.2,356.08,330.3,0.1575,25900,20,0.98
5,358.55,358.04,359.08,359.43,358.62,360.77,358.34,359.34,356.41,330.38,0.1575,25900,20,0.98
6,358.49,358.0,359.08,359.45,358.61,360.82,358.46,359.53,356.82,330.5,0.1575,25900,20,0.98
7,358.44,357.96,359.07,359.45,358.61,360.85,358.6,359.69,357.21,330.64,0.1575,25900,20,0.98
8,358.4,357.93,359.07,359.45,358.63,360.9,358.72,359.83,357.6,330.76,0.1575,25900,20,0.98
9,358.29,357.92,359.06,359.46,358.64,360.93,358.83,359.96,357.92,330.82,0.1575,25900,20,0.98
10,358.24,357.91,359.04,359.47,358.65,360.98,358.93,360.08,358.19,330.87,0.1575,25900,20,0.98
11,358.21,357.87,359.02,359.49,358.67,361.02,359.08,360.18,358.54,331.0,0.1575,25900,20,0.98
12,358.21,357.87,358.98,359.5,358.7,361.05,359.18,360.25,358.85,331.17,0.1575,25900,20,0.98
13,358.21,357.87,358.94,359.5,358.73,361.08,359.24,360.34,359.02,331.27,0.1575,25900,20,0.98
14,358.21,357.87,358.92,359.5,358.75,361.12,359.3,360.42,359.16,331.39,0.1575,25900,20,0.98
15,358.22,357.88,358.89,359.5,358.78,361.16,359.36,360.5,359.27,331.49,0.1575,25900,20,0.98
16,358.23,357.88,358.86,359.5,358.81,361.2,359.43,360.57,359.37,331.56,0.1575,25900,20,0.98
17,358.25,357.89,358.84,359.52,358.85,361.24,359.5,360.64,359.47,331.63,0.1575,25900,20,0.98
18,358.26,357.9,358.83,359.53,358.87,361.28,359.55,360.69,359.54,331.68,0.1575,25900,20,0.98
