Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,359.6,358.91,359.35,359.9,359.29,361.63,358.99,359.53,357.22,332.19,0.1575,25900,100,0.98
1,359.52,358.84,359.29,359.88,359.25,361.6,358.94,359.5,357.2,331.75,0.1575,25900,100,0.98
2,359.48,358.79,359.25,359.87,359.23,361.55,358.92,359.46,357.2,331.59,0.1575,25900,100,0.98
3,359.43,358.76,359.21,359.86,359.21,361.53,358.88,359.43,357.23,331.52,0.1575,25900,100,0.98
4,359.41,358.73,359.18,359.84,359.2,361.5,358.86,359.39,357.29,331.49,0.1575,25900,100,0.98
5,359.37,358.69,359.15,359.83,359.16,361.46,358.81,359.32,357.38,331.46,0.1575,25900,100,0.98
6,359.34,358.66,359.11,359.81,359.14,361.42,358.77,359.25,357.49,331.45,0.1575,25900,100,0.98
7,359.32,358.65,359.08,359.8,359.1,361.4,358.72,359.22,357.58,331.4,0.1575,25900,100,0.98
8,359.3,358.63,359.04,359.79,359.08,361.36,358.67,359.19,357.66,331.34,0.1575,25900,100,0.98
9,359.28,358.61,359.01,359.76,359.05,361.33,358.63,359.17,357.74,331.28,0.1575,25900,100,0.98
10,359.25,358.59,358.97,359.74,359.01,361.29,358.58,359.16,357.81,331.22,0.1575,25900,100,0.98
11,359.21,358.57,358.93,359.72,358.97,361.26,358.54,359.16,357.84,331.22,0.1575,25900,100,0.98
12,359.19,358.56,358.92,359.7,358.95,361.23,358.52,359.15,357.83,331.25,0.1575,25900,100,0.98
13,359.15,358.54,358.89,359.67,358.93,361.19,358.5,359.14,357.82,331.31,0.1575,25900,100,0.98
14,359.14,358.54,358.86,359.64,358.91,361.16,358.47,359.13,357.84,331.41,0.1575,25900,100,0.98
15,359.12,358.52,358.83,359.62,358.89,361.12,358.46,359.12,357.93,331.54,0.1575,25900,100,0.98
16,359.09,358.5,358.81,359.61,358.88,361.09,358.44,359.11,358.05,331.7,0.1575,25900,100,0.98
