Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,360.23,359.53,359.49,359.84,359.06,360.78,358.57,359.13,356.75,333.78,0.1575,19400,3,0.98
1,360.26,359.61,359.53,359.85,359.02,360.75,358.7,359.29,356.94,333.69,0.1575,19400,3,0.98
2,360.33,359.74,359.6,359.89,359.0,360.75,358.83,359.51,357.16,333.67,0.1575,19400,3,0.98
3,360.4,359.87,359.65,359.91,358.99,360.78,358.95,359.69,357.4,333.71,0.1575,19400,3,0.98
4,360.5,360.01,359.67,359.95,359.0,360.83,359.06,359.85,357.66,333.77,0.1575,19400,3,0.98
5,360.61,360.14,359.69,359.99,359.03,360.88,359.22,360.0,357.91,333.83,0.1575,19400,3,0.98
6,360.72,360.26,359.71,360.05,359.04,360.93,359.35,360.11,358.12,333.86,0.1575,19400,3,0.98
7,360.85,360.38,359.75,360.1,359.08,360.99,359.51,360.12,358.35,333.9,0.1575,19400,3,0.98
8,360.93,360.48,359.8,360.16,359.13,361.05,359.62,360.11,358.5,333.92,0.1575,19400,3,0.98
9,360.97,360.54,359.84,360.19,359.17,361.09,359.71,360.16,358.57,333.94,0.1575,19400,3,0.98
10,361.02,360.56,359.89,360.23,359.22,361.16,359.82,360.24,358.65,333.95,0.1575,19400,3,0.98
11,361.03,360.54,359.94,360.28,359.25,361.23,359.94,360.31,358.72,333.94,0.1575,19400,3,0.98
12,361.06,360.55,360.0,360.33,359.3,361.3,360.06,360.37,358.76,333.96,0.1575,19400,3,0.98
13,361.08,360.57,360.06,360.37,359.36,361.38,360.15,360.49,358.8,333.96,0.1575,19400,3,0.98
14,361.12,360.6,360.12,360.41,359.41,361.47,360.23,360.66,358.83,333.91,0.1575,19400,3,0.98
15,361.15,360.63,360.17,360.45,359.47,361.54,360.3,360.8,358.84,333.88,0.1575,19400,3,0.98
16,361.19,360.65,360.25,360.5,359.54,361.59,360.41,360.9,358.87,333.85,0.1575,19400,3,0.98
17,361.22,360.68,360.32,360.56,359.61,361.67,360.49,361.03,358.96,333.84,0.1575,19400,3,0.98
18,361.28,360.71,360.36,360.61,359.65,361.73,360.53,361.15,359.06,333.84,0.1575,19400,3,0.98
19,361.36,360.77,360.41,360.67,359.69,361.8,360.55,361.22,359.18,333.81,0.1575,19400,3,0.98
20,361.42,360.83,360.45,360.72,359.73,361.86,360.52,361.27,359.27,333.81,0.1575,19400,3,0.98
21,361.5,360.9,360.5,360.78,359.78,361.93,360.47,361.34,359.33,333.8,0.1575,19400,3,0.98
22,361.58,360.95,360.54,360.83,359.8,362.0,360.4,361.37,359.36,333.78,0.1575,19400,3,0.98
23,361.65,360.99,360.56,360.85,359.83,362.05,360.36,361.37,359.39,333.73,0.1575,19400,3,0.98
24,361.71,361.04,360.58,360.87,359.87,362.11,360.38,361.38,359.41,333.68,0.1575,19400,3,0.98
25,361.72,361.09,360.61,360.93,359.94,362.16,360.45,361.4,359.42,333.61,0.1575,19400,3,0.98
26,361.66,361.11,360.65,360.99,360.02,362.2,360.48,361.43,359.4,333.58,0.1575,19400,3,0.98
27,361.62,361.11,360.65,361.04,360.08,362.22,360.45,361.46,359.34,333.58,0.1575,19400,3,0.98
28,361.58,361.11,360.67,361.07,360.15,362.21,360.4,361.48,359.15,333.59,0.1575,19400,3,0.98
29,361.53,361.1,360.66,361.13,360.22,362.19,360.37,361.5,358.76,333.61,0.1575,19400,3,0.98
30,361.48,361.09,360.66,361.17,360.29,362.16,360.33,361.5,358.4,333.61,0.1575,19400,3,0.98
31,361.45,361.11,360.65,361.2,360.37,362.15,360.29,361.5,358.21,333.63,0.1575,19400,3,0.98
32,361.44,361.12,360.65,361.22,360.43,362.13,360.28,361.48,358.14,333.66,0.1575,19400,3,0.98
33,361.44,361.13,360.66,361.22,360.49,362.12,360.26,361.42,358.08,333.71,0.1575,19400,3,0.98
34,361.46,361.15,360.65,361.23,360.55,362.1,360.28,361.33,357.9,333.8,0.1575,19400,3,0.98
35,361.49,361.15,360.64,361.24,360.59,362.1,360.27,361.26,357.78,333.92,0.1575,19400,3,0.98
36,361.51,361.16,360.64,361.23,360.6,362.1,360.23,361.16,357.81,334.06,0.1575,19400,3,0.98
37,361.53,361.16,360.63,361.23,360.61,362.1,360.24,361.1,357.9,334.23,0.1575,19400,3,0.98
38,361.51,361.16,360.63,361.24,360.61,362.11,360.27,361.07,357.98,334.41,0.1575,19400,3,0.98
39,361.51,361.17,360.64,361.24,360.62,362.1,360.32,361.03,358.1,334.58,0.1575,19400,3,0.98
40,361.51,361.16,360.65,361.25,360.62,362.11,360.36,360.95,358.21,334.71,0.1575,19400,3,0.98
41,361.5,361.16,360.66,361.25,360.62,362.11,360.43,360.84,358.31,334.87,0.1575,19400,3,0.98
42,361.52,361.14,360.69,361.24,360.62,362.13,360.48,360.74,358.36,335.06,0.1575,19400,3,0.98
43,361.53,361.12,360.74,361.23,360.61,362.15,360.5,360.63,358.39,335.37,0.1575,19400,3,0.98
44,361.57,361.14,360.77,361.22,360.59,362.16,360.48,360.61,358.42,335.7,0.1575,19400,3,0.98
45,361.61,361.16,360.79,361.2,360.58,362.17,360.48,360.64,358.47,335.9,0.1575,19400,3,0.98
46,361.63,361.17,360.79,361.17,360.56,362.17,360.5,360.65,358.53,336.08,0.1575,19400,3,0.98
47,361.64,361.22,360.8,361.16,360.56,362.17,360.56,360.68,358.59,336.25,0.1575,19400,3,0.98
48,361.62,361.23,360.78,361.15,360.56,362.17,360.64,360.73,358.66,336.4,0.1575,19400,3,0.98
49,361.58,361.21,360.76,361.15,360.55,362.18,360.72,360.78,358.72,336.54,0.1575,19400,3,0.98
50,361.54,361.16,360.73,361.15,360.53,362.18,360.78,360.87,358.77,336.68,0.1575,19400,3,0.98
51,361.48,361.07,360.71,361.14,360.51,362.19,360.82,360.99,358.78,336.81,0.1575,19400,3,0.98
52,361.41,360.9,360.66,361.13,360.51,362.19,360.78,361.08,358.8,336.96,0.1575,19400,3,0.98
53,361.3,360.76,360.62,361.14,360.51,362.19,360.7,361.11,358.76,337.05,0.1575,19400,3,0.98
54,361.24,360.68,360.58,361.14,360.52,362.19,360.66,361.1,358.63,337.1,0.1575,19400,3,0.98
55,361.18,360.61,360.55,361.11,360.5,362.17,360.62,361.06,358.51,337.15,0.1575,19400,3,0.98
56,361.12,360.58,360.51,361.1,360.49,362.13,360.61,360.92,358.46,337.24,0.1575,19400,3,0.98
57,361.07,360.6,360.46,361.1,360.51,362.06,360.61,360.74,358.47,337.35,0.1575,19400,3,0.98
58,361.01,360.65,360.41,361.09,360.51,362.01,360.61,360.63,358.51,337.47,0.1575,19400,3,0.98
59,360.98,360.68,360.35,361.08,360.51,361.95,360.59,360.5,358.56,337.58,0.1575,19400,3,0.98
60,360.98,360.65,360.28,361.06,360.5,361.89,360.57,360.44,358.64,337.7,0.1575,19400,3,0.98
61,361.01,360.58,360.18,361.04,360.47,361.86,360.54,360.41,358.72,337.85,0.1575,19400,3,0.98
62,361.03,360.49,360.1,361.03,360.42,361.84,360.49,360.37,358.78,337.97,0.1575,19400,3,0.98
63,361.01,360.47,360.06,361.05,360.4,361.81,360.46,360.32,358.8,338.04,0.1575,19400,3,0.98
64,360.97,360.44,360.02,361.05,360.38,361.8,360.43,360.24,358.83,338.09,0.1575,19400,3,0.98
65,360.9,360.42,359.97,361.04,360.36,361.78,360.43,360.19,358.88,338.11,0.1575,19400,3,0.98
66,360.81,360.39,359.96,360.99,360.35,361.76,360.46,360.11,358.94,338.12,0.1575,19400,3,0.98
67,360.73,360.36,359.93,360.95,360.34,361.73,360.5,360.1,359.01,338.12,0.1575,19400,3,0.98
68,360.66,360.33,359.92,360.89,360.32,361.69,360.53,360.21,359.01,338.1,0.1575,19400,3,0.98
69,360.6,360.31,359.92,360.81,360.3,361.66,360.53,360.35,358.9,338.07,0.1575,19400,3,0.98
70,360.52,360.26,359.93,360.73,360.29,361.66,360.49,360.39,358.55,338.02,0.1575,19400,3,0.98
71,360.48,360.21,359.96,360.65,360.27,361.66,360.43,360.36,358.25,338.02,0.1575,19400,3,0.98
72,360.46,360.2,359.97,360.6,360.26,361.66,360.4,360.32,358.21,338.09,0.1575,19400,3,0.98
73,360.48,360.2,359.97,360.53,360.23,361.66,360.41,360.33,358.22,338.16,0.1575,19400,3,0.98
74,360.5,360.19,359.99,360.47,360.19,361.66,360.42,360.34,358.28,338.22,0.1575,19400,3,0.98
75,360.5,360.19,359.99,360.44,360.15,361.68,360.44,360.35,358.31,338.29,0.1575,19400,3,0.98
76,360.52,360.21,359.99,360.42,360.11,361.71,360.48,360.37,358.37,338.39,0.1575,19400,3,0.98
77,360.54,360.21,359.99,360.43,360.08,361.73,360.51,360.4,358.43,338.48,0.1575,19400,3,0.98
78,360.56,360.25,359.99,360.43,360.05,361.74,360.52,360.41,358.52,338.58,0.1575,19400,3,0.98
79,360.53,360.27,359.99,360.43,360.04,361.73,360.52,360.41,358.59,338.66,0.1575,19400,3,0.98
80,360.48,360.28,360.0,360.44,360.04,361.73,360.52,360.42,358.56,338.73,0.1575,19400,3,0.98
81,360.46,360.27,360.01,360.46,360.02,361.75,360.52,360.43,358.44,338.74,0.1575,19400,3,0.98
82,360.44,360.26,360.01,360.49,360.02,361.75,360.53,360.47,358.31,338.75,0.1575,19400,3,0.98
83,360.44,360.25,360.01,360.53,360.01,361.77,360.54,360.54,358.24,338.76,0.1575,19400,3,0.98
84,360.42,360.21,360.03,360.54,360.0,361.76,360.55,360.61,358.23,338.79,0.1575,19400,3,0.98
85,360.44,360.19,360.03,360.57,360.0,361.77,360.54,360.74,358.26,338.85,0.1575,19400,3,0.98
86,360.45,360.16,360.03,360.57,359.99,361.78,360.52,360.84,358.29,338.91,0.1575,19400,3,0.98
87,360.46,360.16,360.0,360.59,359.98,361.8,360.53,360.85,358.35,338.97,0.1575,19400,3,0.98
88,360.41,360.12,359.99,360.6,359.98,361.81,360.52,360.85,358.39,339.04,0.1575,19400,3,0.98
89,360.33,360.02,359.98,360.59,359.97,361.83,360.51,360.86,358.39,339.12,0.1575,19400,3,0.98
90,360.29,359.98,359.95,360.6,359.97,361.85,360.52,360.87,358.42,339.2,0.1575,19400,3,0.98
91,360.27,359.94,359.93,360.6,359.95,361.84,360.53,360.84,358.46,339.27,0.1575,19400,3,0.98
92,360.26,359.93,359.91,360.61,359.95,361.84,360.53,360.77,358.52,339.35,0.1575,19400,3,0.98
93,360.28,359.92,359.89,360.61,359.97,361.83,360.52,360.71,358.56,339.44,0.1575,19400,3,0.98
94,360.28,359.9,359.85,360.63,359.97,361.81,360.49,360.65,358.61,339.54,0.1575,19400,3,0.98
95,360.3,359.88,359.8,360.62,359.98,361.78,360.49,360.62,358.62,339.66,0.1575,19400,3,0.98
96,360.32,359.85,359.75,360.61,359.99,361.75,360.49,360.59,358.63,339.81,0.1575,19400,3,0.98
97,360.39,359.77,359.65,360.58,359.99,361.7,360.43,360.52,358.67,340.02,0.1575,19400,3,0.98
98,360.46,359.72,359.56,360.55,359.96,361.67,360.32,360.43,358.68,340.22,0.1575,19400,3,0.98
