Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,359.75,359.03,359.76,360.24,359.68,361.45,358.93,359.55,357.07,333.49,0.1575,25900,3,0.98
1,359.7,359.02,359.75,360.27,359.67,361.47,358.98,359.77,357.08,333.26,0.1575,25900,3,0.98
2,359.79,359.22,359.82,360.32,359.74,361.51,359.31,360.01,357.42,333.09,0.1575,25900,3,0.98
3,359.93,359.45,359.94,360.47,359.86,361.59,359.71,360.38,357.88,333.03,0.1575,25900,3,0.98
4,360.04,359.55,360.04,360.63,359.96,361.7,359.96,360.71,358.16,333.0,0.1575,25900,3,0.98
5,360.15,359.66,360.13,360.8,360.07,361.82,360.2,360.99,358.48,332.97,0.1575,25900,3,0.98
6,360.2,359.73,360.22,360.96,360.19,361.94,360.41,361.25,358.79,332.96,0.1575,25900,3,0.98
7,360.21,359.78,360.28,361.13,360.32,362.06,360.58,361.45,359.07,332.96,0.1575,25900,3,0.98
8,360.24,359.84,360.36,361.29,360.43,362.19,360.76,361.6,359.34,332.98,0.1575,25900,3,0.98
9,360.3,359.93,360.43,361.38,360.53,362.26,360.94,361.7,359.6,333.06,0.1575,25900,3,0.98
10,360.37,360.02,360.52,361.52,360.63,362.37,361.12,361.78,359.81,333.14,0.1575,25900,3,0.98
11,360.48,360.15,360.65,361.64,360.76,362.47,361.33,361.8,360.11,333.3,0.1575,25900,3,0.98
12,360.6,360.29,360.78,361.75,360.84,362.55,361.49,361.8,360.37,333.48,0.1575,25900,3,0.98
13,360.7,360.41,360.87,361.83,360.89,362.62,361.58,361.79,360.54,333.61,0.1575,25900,3,0.98
14,360.82,360.54,360.97,361.91,360.94,362.69,361.65,361.81,360.7,333.72,0.1575,25900,3,0.98
15,360.94,360.68,361.07,361.96,360.98,362.77,361.7,361.88,360.85,333.79,0.1575,25900,3,0.98
16,361.07,360.81,361.14,362.0,361.02,362.82,361.78,361.96,360.95,333.83,0.1575,25900,3,0.98
17,361.18,360.96,361.2,362.08,361.04,362.89,361.85,362.1,361.0,333.84,0.1575,25900,3,0.98
18,361.3,361.09,361.23,362.16,361.07,362.93,361.92,362.24,361.0,333.85,0.1575,25900,3,0.98
19,361.41,361.21,361.24,362.25,361.1,362.94,361.94,362.26,360.94,333.89,0.1575,25900,3,0.98
20,361.54,361.36,361.22,362.31,361.12,362.92,361.95,362.26,360.82,334.02,0.1575,25900,3,0.98
21,361.65,361.49,361.24,362.34,361.14,362.93,361.96,362.24,360.72,334.19,0.1575,25900,3,0.98
22,361.7,361.59,361.29,362.38,361.15,362.95,361.99,362.23,360.68,334.28,0.1575,25900,3,0.98
23,361.76,361.67,361.35,362.39,361.15,362.99,362.03,362.31,360.66,334.37,0.1575,25900,3,0.98
24,361.83,361.74,361.41,362.38,361.14,363.05,362.04,362.38,360.63,334.47,0.1575,25900,3,0.98
25,361.9,361.79,361.5,362.37,361.13,363.08,362.07,362.4,360.63,334.57,0.1575,25900,3,0.98
26,361.95,361.82,361.58,362.35,361.12,363.14,362.11,362.43,360.62,334.65,0.1575,25900,3,0.98
27,361.96,361.87,361.66,362.33,361.11,363.2,362.14,362.46,360.65,334.71,0.1575,25900,3,0.98
28,361.94,361.89,361.74,362.33,361.11,363.25,362.17,362.48,360.69,334.79,0.1575,25900,3,0.98
29,361.94,361.87,361.83,362.35,361.09,363.29,362.21,362.49,360.83,334.94,0.1575,25900,3,0.98
30,361.94,361.86,361.93,362.41,361.1,363.32,362.24,362.49,361.07,335.15,0.1575,25900,3,0.98
31,361.94,361.87,361.97,362.47,361.1,363.32,362.29,362.46,361.23,335.3,0.1575,25900,3,0.98
32,361.97,361.87,361.99,362.51,361.13,363.32,362.33,362.45,361.38,335.48,0.1575,25900,3,0.98
33,361.96,361.88,362.01,362.57,361.17,363.34,362.35,362.47,361.51,335.64,0.1575,25900,3,0.98
34,361.96,361.85,362.03,362.62,361.22,363.37,362.37,362.5,361.62,335.79,0.1575,25900,3,0.98
35,361.94,361.84,362.05,362.65,361.28,363.4,362.36,362.49,361.69,335.94,0.1575,25900,3,0.98
36,361.92,361.84,362.08,362.69,361.34,363.43,362.35,362.47,361.71,336.09,0.1575,25900,3,0.98
37,361.89,361.85,362.1,362.72,361.39,363.44,362.36,362.45,361.7,336.22,0.1575,25900,3,0.98
38,361.84,361.87,362.11,362.74,361.49,363.44,362.36,362.46,361.66,336.4,0.1575,25900,3,0.98
39,361.8,361.87,362.09,362.78,361.58,363.44,362.31,362.5,361.61,336.58,0.1575,25900,3,0.98
40,361.79,361.86,362.07,362.83,361.64,363.42,362.25,362.55,361.57,336.7,0.1575,25900,3,0.98
41,361.77,361.85,362.04,362.86,361.7,363.41,362.2,362.52,361.48,336.88,0.1575,25900,3,0.98
42,361.75,361.87,362.04,362.89,361.74,363.42,362.15,362.47,361.35,337.04,0.1575,25900,3,0.98
43,361.75,361.88,362.04,362.91,361.79,363.46,362.14,362.41,361.25,337.21,0.1575,25900,3,0.98
44,361.76,361.89,362.04,362.94,361.82,363.5,362.09,362.38,361.17,337.38,0.1575,25900,3,0.98
45,361.79,361.9,362.04,362.98,361.85,363.52,362.13,362.45,361.15,337.56,0.1575,25900,3,0.98
46,361.84,361.84,362.04,363.0,361.88,363.53,362.19,362.53,361.12,337.75,0.1575,25900,3,0.98
47,361.93,361.77,362.02,363.01,361.93,363.54,362.29,362.63,361.04,337.98,0.1575,25900,3,0.98
48,362.04,361.74,361.99,362.95,361.97,363.54,362.34,362.68,361.01,338.15,0.1575,25900,3,0.98
49,362.13,361.71,361.96,362.88,361.99,363.53,362.34,362.7,361.06,338.21,0.1575,25900,3,0.98
50,362.21,361.66,361.93,362.82,361.98,363.53,362.35,362.76,361.16,338.32,0.1575,25900,3,0.98
51,362.28,361.6,361.92,362.79,361.96,363.53,362.31,362.91,361.25,338.47,0.1575,25900,3,0.98
52,362.3,361.57,361.9,362.76,361.95,363.54,362.28,362.99,361.36,338.64,0.1575,25900,3,0.98
53,362.26,361.55,361.91,362.76,361.96,363.55,362.24,362.97,361.5,338.81,0.1575,25900,3,0.98
54,362.21,361.52,361.92,362.74,361.95,363.58,362.22,362.91,361.65,338.96,0.1575,25900,3,0.98
55,362.19,361.52,361.94,362.73,361.96,363.62,362.22,362.84,361.79,339.12,0.1575,25900,3,0.98
56,362.21,361.5,361.93,362.73,361.99,363.64,362.27,362.8,361.86,339.34,0.1575,25900,3,0.98
57,362.26,361.49,361.9,362.74,362.03,363.66,362.34,362.76,361.81,339.55,0.1575,25900,3,0.98
58,362.27,361.48,361.88,362.73,362.05,363.68,362.32,362.74,361.79,339.68,0.1575,25900,3,0.98
59,362.24,361.46,361.84,362.74,362.07,363.69,362.25,362.8,361.81,339.78,0.1575,25900,3,0.98
60,362.19,361.43,361.8,362.75,362.09,363.73,362.18,362.89,361.82,339.87,0.1575,25900,3,0.98
61,362.07,361.38,361.79,362.74,362.11,363.75,362.17,362.99,361.87,339.95,0.1575,25900,3,0.98
62,361.95,361.34,361.8,362.74,362.12,363.78,362.23,363.02,361.95,340.02,0.1575,25900,3,0.98
63,361.86,361.29,361.81,362.76,362.13,363.84,362.31,363.01,362.06,340.1,0.1575,25900,3,0.98
64,361.78,361.24,361.79,362.77,362.12,363.88,362.36,362.99,362.14,340.2,0.1575,25900,3,0.98
65,361.68,361.16,361.78,362.78,362.13,363.91,362.37,362.94,362.18,340.41,0.1575,25900,3,0.98
66,361.63,361.12,361.77,362.77,362.17,363.94,362.31,362.91,362.2,340.67,0.1575,25900,3,0.98
67,361.62,361.12,361.76,362.75,362.18,363.95,362.3,362.92,362.17,340.84,0.1575,25900,3,0.98
68,361.62,361.15,361.77,362.73,362.19,363.94,362.33,362.98,362.12,341.01,0.1575,25900,3,0.98
69,361.64,361.2,361.77,362.72,362.21,363.93,362.31,363.02,362.12,341.17,0.1575,25900,3,0.98
70,361.65,361.25,361.76,362.73,362.22,363.91,362.21,363.01,362.11,341.33,0.1575,25900,3,0.98
71,361.66,361.3,361.76,362.75,362.24,363.89,362.09,363.02,362.06,341.48,0.1575,25900,3,0.98
72,361.66,361.35,361.78,362.78,362.24,363.89,362.0,363.03,361.93,341.63,0.1575,25900,3,0.98
73,361.63,361.35,361.78,362.8,362.25,363.89,361.93,363.02,361.83,341.76,0.1575,25900,3,0.98
74,361.57,361.31,361.79,362.82,362.25,363.89,361.87,363.01,361.8,341.87,0.1575,25900,3,0.98
75,361.5,361.28,361.8,362.83,362.24,363.9,361.85,362.96,361.77,341.9,0.1575,25900,3,0.98
76,361.46,361.3,361.81,362.83,362.24,363.9,361.78,362.79,361.75,341.91,0.1575,25900,3,0.98
77,361.43,361.32,361.82,362.82,362.23,363.9,361.66,362.58,361.69,341.95,0.1575,25900,3,0.98
78,361.42,361.3,361.81,362.81,362.23,363.9,361.57,362.42,361.59,341.98,0.1575,25900,3,0.98
79,361.4,361.26,361.82,362.79,362.19,363.89,361.46,362.35,361.52,342.0,0.1575,25900,3,0.98
80,361.4,361.22,361.8,362.76,362.17,363.85,361.37,362.29,361.49,342.02,0.1575,25900,3,0.98
81,361.37,361.18,361.8,362.72,362.13,363.82,361.35,362.26,361.49,342.03,0.1575,25900,3,0.98
82,361.32,361.11,361.82,362.69,362.09,363.79,361.36,362.21,361.51,342.03,0.1575,25900,3,0.98
83,361.24,360.96,361.81,362.66,362.02,363.76,361.51,362.09,361.54,342.05,0.1575,25900,3,0.98
84,361.21,360.81,361.78,362.64,361.98,363.73,361.67,361.97,361.57,342.1,0.1575,25900,3,0.98
85,361.2,360.74,361.72,362.62,361.95,363.71,361.76,361.79,361.53,342.13,0.1575,25900,3,0.98
86,361.2,360.68,361.66,362.65,361.92,363.67,361.81,361.76,361.51,342.13,0.1575,25900,3,0.98
87,361.17,360.64,361.58,362.69,361.89,363.64,361.8,361.85,361.47,342.14,0.1575,25900,3,0.98
88,361.14,360.63,361.52,362.72,361.88,363.61,361.76,361.97,361.43,342.16,0.1575,25900,3,0.98
