Time,TC1_tip,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,h,flux,abs,surf
0,359.56,359.05,360.13,360.63,360.01,361.99,359.06,359.42,355.24,333.8,0.1575,25900,20,0.98
1,359.5,359.01,360.11,360.61,359.99,361.97,359.08,359.43,355.22,333.5,0.1575,25900,20,0.98
2,359.47,358.97,360.07,360.57,359.99,361.96,359.11,359.55,355.42,333.28,0.1575,25900,20,0.98
3,359.44,358.93,360.02,360.58,359.99,361.96,359.3,359.82,356.22,333.13,0.1575,25900,20,0.98
4,359.44,358.9,360.0,360.58,360.02,361.97,359.51,360.02,357.12,333.2,0.1575,25900,20,0.98
5,359.44,358.89,359.99,360.6,360.02,361.99,359.64,360.3,357.69,333.36,0.1575,25900,20,0.98
6,359.47,358.89,359.98,360.62,360.05,362.02,359.71,360.54,358.19,333.54,0.1575,25900,20,0.98
7,359.5,358.89,359.97,360.64,360.05,362.07,359.7,360.72,358.62,333.7,0.1575,25900,20,0.98
8,359.52,358.88,359.97,360.63,360.06,362.13,359.73,360.83,358.98,333.85,0.1575,25900,20,0.98
9,359.53,358.88,359.96,360.6,360.07,362.18,359.79,360.94,359.28,333.95,0.1575,25900,20,0.98
10,359.55,358.86,359.94,360.59,360.09,362.21,359.88,361.07,359.54,334.0,0.1575,25900,20,0.98
11,359.56,358.8,359.92,360.57,360.09,362.24,359.99,361.22,359.77,334.04,0.1575,25900,20,0.98
12,359.56,358.78,359.89,360.57,360.13,362.27,360.16,361.38,360.0,334.09,0.1575,25900,20,0.98
13,359.56,358.79,359.87,360.58,360.16,362.29,360.31,361.48,360.12,334.16,0.1575,25900,20,0.98
14,359.55,358.8,359.86,360.6,360.18,362.33,360.41,361.63,360.09,334.23,0.1575,25900,20,0.98
15,359.56,358.82,359.86,360.62,360.21,362.38,360.49,361.76,360.04,334.27,0.1575,25900,20,0.98
16,359.56,358.83,359.84,360.64,360.22,362.44,360.54,361.84,360.0,334.3,0.1575,25900,20,0.98
17,359.56,358.84,359.83,360.65,360.25,362.5,360.58,361.89,360.03,334.32,0.1575,25900,20,0.98
18,359.58,358.86,359.83,360.67,360.29,362.55,360.63,361.96,360.13,334.36,0.1575,25900,20,0.98
19,359.59,358.86,359.84,360.68,360.31,362.62,360.68,362.03,360.23,334.42,0.1575,25900,20,0.98
20,359.58,358.85,359.83,360.69,360.33,362.64,360.76,362.09,360.29,334.5,0.1575,25900,20,0.98
21,359.58,358.84,359.81,360.7,360.36,362.7,360.89,362.2,360.39,334.65,0.1575,25900,20,0.98
