rank,file,abs,surf,flux,rows,horizons_covered,avg_MAE_K,MAE_H60,MAE_H180,MAE_H300,MAE_H480,MAE_H600,MAE_H900
1,h6_flux88_abs0_wr_surf0_632s - Sheet1.csv,3.0,0.98,25900.0,491,3,1.102,0.469,0.938,1.898,nan,nan,nan
2,h6_flux88_abs0_mr_surf0_617s - Sheet1.csv,3.0,0.98,25900.0,496,3,1.261,0.654,1.281,1.848,nan,nan,nan
3,h6_flux88_abs92_surf0_598s - Sheet1.csv,100.0,0.98,25900.0,528,4,1.784,0.896,1.393,3.023,1.823,nan,nan
4,h6_flux88_abs92_wr_surf0_835s - Sheet1.csv,100.0,0.98,25900.0,516,4,1.808,0.811,1.277,2.814,2.329,nan,nan
5,h6_flux78_abs0_surf0_newSalt_641s - Sheet1.csv,3.0,0.98,21250.0,484,3,1.815,0.637,1.93,2.878,nan,nan,nan
6,h6_flux73_abs0_surf0_newSalt_398s - Sheet1.csv,3.0,0.98,19400.0,488,3,1.838,0.593,1.287,3.633,nan,nan,nan
7,h6_flux88_abs0_surf1_newSalt_689s - Sheet1.csv,3.0,0.76,25900.0,594,4,1.951,1.122,1.516,2.943,2.224,nan,nan
8,h6_flux73_abs0_surf0_429s - Sheet2.csv,3.0,0.98,19400.0,534,4,2.179,0.699,1.753,4.329,1.932,nan,nan
9,h6_flux88_abs0_surf1_newSalt_573s - Sheet2.csv,3.0,0.76,25900.0,716,5,2.238,1.068,1.566,3.743,1.736,3.077,nan
10,h6_flux73_abs0_surf0_868s - Sheet1.csv,3.0,0.98,19400.0,530,4,2.257,0.679,1.833,4.366,2.15,nan,nan
11,h6_flux88_abs92_surf0_628s - Sheet4.csv,100.0,0.98,25900.0,538,4,2.262,1.008,1.839,3.517,2.684,nan,nan
12,h6_flux73_abs0_surf0_511s - Sheet3.csv,3.0,0.98,19400.0,621,5,2.304,0.881,1.7,4.149,1.672,3.117,nan
13,h6_flux73_abs0_surf1_868s - Sheet2.csv,3.0,0.76,19400.0,835,5,2.313,0.784,1.597,4.564,1.68,2.94,nan
14,h6_flux88_abs0_surf1_545s - Sheet2.csv,3.0,0.76,25900.0,745,5,2.347,1.157,1.894,4.015,1.88,2.788,nan
15,h6_flux78_abs0_surf0_745s - Sheet1.csv,3.0,0.98,21250.0,641,5,2.359,0.955,2.15,3.187,1.955,3.549,nan
16,h6_flux78_abs0_surf0_523s - Sheet2.csv,3.0,0.98,21250.0,516,4,2.369,0.704,2.329,3.513,2.93,nan,nan
17,h6_flux88_abs0_surf1_491s - Sheet3.csv,3.0,0.76,25900.0,695,5,2.396,1.206,1.995,3.556,2.543,2.682,nan
18,h6_flux88_abs92_mr_surf0_580s - Sheet1.csv,100.0,0.98,25900.0,589,4,2.525,1.379,2.012,3.938,2.77,nan,nan
19,h6_flux88_abs92_surf0_longRun_618s - Sheet1.csv,100.0,0.98,25900.0,3744,6,2.566,1.075,1.655,2.726,3.636,2.956,3.346
20,h6_flux73_abs0_surf1_660s - Sheet1.csv,3.0,0.76,19400.0,477,3,2.594,0.605,1.584,5.593,nan,nan,nan
21,h6_flux73_abs0_surf1_754s - Sheet3.csv,3.0,0.76,19400.0,494,3,2.673,0.634,1.723,5.661,nan,nan,nan
