rank,file,abs,surf,flux,rows,horizons_covered,avg_MAE_K,MAE_H60,MAE_H180,MAE_H300,MAE_H480,MAE_H600
1,h6_flux78_abs0_surf0_newSalt_641s - Sheet1.csv,3.0,0.98,21250.0,484,3,0.584,0.468,0.571,0.712,nan,nan
2,h6_flux88_abs0_wr_surf0_632s - Sheet1.csv,3.0,0.98,25900.0,491,3,0.648,0.512,0.596,0.838,nan,nan
3,h6_flux73_abs0_surf0_newSalt_398s - Sheet1.csv,3.0,0.98,19400.0,488,3,0.735,0.493,0.669,1.043,nan,nan
4,h6_flux88_abs0_surf0_800s - Sheet2.csv,3.0,0.98,25900.0,580,4,1.004,0.656,0.824,0.928,1.607,nan
5,h6_flux73_abs0_surf0_868s - Sheet1.csv,3.0,0.98,19400.0,530,4,1.043,0.408,0.564,0.863,2.337,nan
6,h6_flux78_abs0_surf0_745s - Sheet1.csv,3.0,0.98,21250.0,586,4,1.064,0.548,0.794,0.993,1.92,nan
7,h6_flux73_abs0_surf0_511s - Sheet3.csv,3.0,0.98,19400.0,621,5,1.224,0.783,0.804,1.187,1.567,1.78
8,h6_flux73_abs0_surf1_754s - Sheet3.csv,3.0,0.76,19400.0,494,3,1.369,0.582,1.392,2.131,nan,nan
9,h6_flux78_abs0_surf0_523s - Sheet2.csv,3.0,0.98,21250.0,516,4,1.402,0.421,0.665,0.967,3.554,nan
10,h6_flux73_abs0_surf1_660s - Sheet1.csv,3.0,0.76,19400.0,477,3,1.497,0.618,1.502,2.372,nan,nan
11,h6_flux78_abs0_surf1_newSalt_851s - Sheet2.csv,3.0,0.76,21250.0,519,4,1.541,0.648,1.264,1.57,2.68,nan
12,h6_flux78_abs0_surf0_450s - Sheet3.csv,3.0,0.98,21250.0,527,4,1.585,0.4,0.79,1.063,4.087,nan
13,h6_flux78_abs0_surf1_newSalt_505s - Sheet3.csv,3.0,0.76,21250.0,490,3,1.606,0.695,1.688,2.436,nan,nan
14,h6_flux88_abs0_surf1_newSalt_573s - Sheet2.csv,3.0,0.76,25900.0,716,5,1.629,1.196,2.348,1.894,1.52,1.187
15,h6_flux73_abs0_surf1_868s - Sheet2.csv,3.0,0.76,19400.0,835,5,1.707,0.71,1.301,1.701,2.201,2.619
16,h6_flux88_abs0_surf1_newSalt_689s - Sheet1.csv,3.0,0.76,25900.0,589,4,1.768,1.132,2.107,1.574,2.259,nan
17,h6_flux78_abs0_surf1_newSalt_466s - Sheet1.csv,3.0,0.76,21250.0,692,5,1.844,0.833,1.575,1.555,2.127,3.132
18,h6_flux88_abs92_surf0_648s - Sheet3.csv,100.0,0.98,25900.0,592,4,2.066,1.104,1.6,2.177,3.381,nan
19,h6_flux88_abs92_mr_surf0_580s - Sheet1.csv,100.0,0.98,25900.0,580,4,2.084,1.099,1.706,2.078,3.452,nan
20,h6_flux88_abs0_surf0_longRun_762s - Sheet1.csv,3.0,0.98,25900.0,945,5,2.18,0.779,1.031,1.271,1.585,6.234
21,h6_flux88_abs0_surf1_545s - Sheet2.csv,3.0,0.76,25900.0,638,5,2.491,0.999,1.765,2.266,4.563,2.864
22,h6_flux88_abs20_surf0_781s - Sheet2.csv,20.0,0.98,25900.0,521,4,4.54,2.803,3.064,5.01,7.281,nan
23,h6_flux88_abs0_surf1_790s - Sheet1.csv,3.0,0.76,25900.0,931,5,6.651,2.557,5.808,6.035,7.724,11.133
