Condition,RMSE,MAE,R2
h6_flux88_abs0_surf0_689s - Sheet3,1.3356257677078247,0.9370666742324829,0.77298041169936
h6_flux88_abs0_surf0_689s - Sheet3,1.314308762550354,0.9579254388809204,0.782918807842116
h6_flux88_abs0_surf0_689s - Sheet3,1.2862403392791748,0.9462493658065796,0.7988647664093352
h6_flux88_abs0_surf0_689s - Sheet3,1.2791640758514404,0.9561980962753296,0.8035825347403974
h6_flux88_abs0_surf0_689s - Sheet3,1.3065400123596191,0.982879638671875,0.7914862155998186
h6_flux88_abs0_surf0_689s - Sheet3,1.3245885372161865,0.9930785894393921,0.7841378769105376
h6_flux88_abs0_surf0_689s - Sheet3,1.3209023475646973,0.9827483892440796,0.7886768706733173
h6_flux88_abs0_surf0_689s - Sheet3,1.307733416557312,0.9572051763534546,0.7954917113948656
h6_flux88_abs0_surf0_689s - Sheet3,1.2997722625732422,0.9484649896621704,0.8027541623698544
h6_flux88_abs0_surf0_689s - Sheet3,1.3065975904464722,0.955395519733429,0.8046250785815602
h6_flux88_abs0_surf0_689s - Sheet3,1.3123894929885864,0.962597668170929,0.808123389072593
h6_flux88_abs0_surf0_689s - Sheet3,1.3465921878814697,0.9862915277481079,0.8007231005530215
h6_flux88_abs0_surf0_689s - Sheet3,1.3722777366638184,1.0026214122772217,0.7955640819861481
h6_flux88_abs0_surf0_689s - Sheet3,1.4017122983932495,1.0210907459259033,0.7868876213279068
h6_flux88_abs0_surf0_689s - Sheet3,1.4390811920166016,1.0408661365509033,0.7724078655827233
h6_flux88_abs0_surf0_689s - Sheet3,1.4733030796051025,1.0625183582305908,0.7572813194389534
h6_flux88_abs0_surf0_689s - Sheet3,1.5109738111495972,1.0853058099746704,0.7394787378526257
h6_flux88_abs0_surf0_689s - Sheet3,1.5271066427230835,1.093267798423767,0.7320515480971206
h6_flux88_abs0_surf0_689s - Sheet3,1.5374501943588257,1.0946991443634033,0.7282592469852915
h6_flux88_abs0_surf0_689s - Sheet3,1.5340092182159424,1.0806061029434204,0.7306094561771372
h6_flux88_abs0_surf0_689s - Sheet3,1.5036686658859253,1.063501000404358,0.7471593468866502
h6_flux88_abs0_surf0_689s - Sheet3,1.474583387374878,1.0558319091796875,0.7627206658476858
h6_flux88_abs0_surf0_689s - Sheet3,1.469163417816162,1.0576446056365967,0.7672780196647679
h6_flux88_abs0_surf0_689s - Sheet3,1.4642242193222046,1.055609107017517,0.7729645516278165
h6_flux88_abs0_surf0_689s - Sheet3,1.4538025856018066,1.0598052740097046,0.7829587493185377
h6_flux88_abs0_surf0_689s - Sheet3,1.46199631690979,1.065283179283142,0.7818523473328104
h6_flux88_abs0_surf0_689s - Sheet3,1.4661519527435303,1.0713775157928467,0.7793690254212494
h6_flux88_abs0_surf0_689s - Sheet3,1.4498993158340454,1.0622100830078125,0.7859231034323547
h6_flux88_abs0_surf0_689s - Sheet3,1.4371576309204102,1.0558960437774658,0.7902933634308655
h6_flux88_abs0_surf0_689s - Sheet3,1.4376976490020752,1.0554625988006592,0.7885107404653082
h6_flux88_abs0_surf0_689s - Sheet3,1.441004991531372,1.0450226068496704,0.7840505665665549
h6_flux88_abs0_surf0_689s - Sheet3,1.444643497467041,1.039764404296875,0.7797164616691998
h6_flux88_abs0_surf0_689s - Sheet3,1.434086561203003,1.030371069908142,0.7811871542816502
h6_flux88_abs0_surf0_689s - Sheet3,1.4316498041152954,1.0297333002090454,0.7802803616407552
h6_flux88_abs0_surf0_689s - Sheet3,1.4202872514724731,1.0344116687774658,0.7831647040638093
h6_flux88_abs0_surf0_689s - Sheet3,1.4502294063568115,1.0626220703125,0.7657295973195442
h6_flux88_abs0_surf0_689s - Sheet3,1.4668338298797607,1.0743865966796875,0.7546850328706289
h6_flux88_abs0_surf0_689s - Sheet3,1.4731239080429077,1.0744202136993408,0.7490400362174147
h6_flux88_abs0_surf0_689s - Sheet3,1.475867509841919,1.0616486072540283,0.7448831252941013
