experiment,seq_len,horizon,status,best_epoch,mae_K,rmse_K,r2,physics_loss,power_balance_loss,mean_actual_power_W,mean_predicted_power_W,mean_incoming_power_W,conservation_violations_pct
new_theoretical_TC11,20,60,success,128,1.9212732315063477,6.531650066375732,0.9108088538050652,0.0,0.0,21.92984874243848,9.382682624505833,217.90658569335935,0.0
new_theoretical_TC11,20,180,success,108,3.5682291984558105,10.923819541931152,0.7779196947813034,0.0,0.0,21.493913882412016,24.697740204865113,217.90658569335935,0.0
new_theoretical_TC11,20,300,success,57,3.87314248085022,10.648089408874512,0.7766498178243637,0.0,0.0,22.951279805973172,16.025636730482802,217.90658569335935,0.0
new_theoretical_TC11,20,480,success,65,4.4236578941345215,10.851372718811035,0.779674768447876,0.0,0.0,19.086923262104392,18.407582339597862,217.90658569335935,0.0
new_theoretical_TC11,20,600,success,107,8.363240242004395,16.442035675048828,0.5308901369571686,0.0,0.0,20.12087905406952,10.125809849472716,217.90658569335935,0.0
new_theoretical_TC10,20,60,success,43,0.6963809728622437,1.38990318775177,0.9960575220175087,0.0,0.0,-0.622924355790019,29.822211286984384,217.90658569335938,0.0
new_theoretical_TC10,20,180,success,266,0.9144603610038757,3.308004140853882,0.9783214051276445,0.0,0.0,18.845301582943648,-5.634321286343038,217.90658569335938,0.0
new_theoretical_TC10,20,300,success,134,1.1848632097244263,2.253704309463501,0.9902101401239634,0.0,0.0,35.39826668333262,25.3909898144193,217.90658569335938,0.0
new_theoretical_TC10,20,480,success,12,2.596294403076172,3.505628824234009,0.9774195980280638,0.0,0.0,29.56403138069436,15.451999795390293,217.90658569335938,0.0
new_theoretical_TC10,20,600,success,18,4.5687713623046875,16.666589736938477,0.5061472952365875,0.0,0.0,30.331647779559717,19.318480299785733,217.90658569335938,0.0
new_theoretical_TC10,20,900,success,22,11.765195846557617,45.58620834350586,-2.3967344760894775,0.0,0.0,30.92389183025807,-398.28142082481645,217.90658569335938,0.0
